,Neighbors,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,16,50,"[165, 145, 101, 369]","[160, 151, 89, 380]","[156, 155, 99, 370]","[152, 159, 77, 392]","[143, 168, 94, 375]","[148, 162, 102, 367]","[156, 154, 109, 360]","[154, 156, 88, 381]","[138, 172, 88, 381]","[155, 155, 98, 371]"
1,16,100,"[167, 143, 101, 369]","[161, 150, 90, 379]","[152, 159, 100, 369]","[146, 165, 81, 388]","[143, 168, 95, 374]","[146, 164, 105, 364]","[155, 155, 108, 361]","[155, 155, 86, 383]","[146, 164, 90, 379]","[155, 155, 99, 370]"
2,16,150,"[167, 143, 99, 371]","[162, 149, 91, 378]","[154, 157, 100, 369]","[145, 166, 82, 387]","[144, 167, 97, 372]","[147, 163, 104, 365]","[157, 153, 107, 362]","[156, 154, 86, 383]","[146, 164, 89, 380]","[157, 153, 97, 372]"
