,Neighbors,Estimators,Confusion Matrix
0,12,50,"[963, 93, 272, 121]"
1,12,100,"[967, 89, 271, 122]"
2,12,150,"[967, 89, 270, 123]"
3,14,50,"[967, 89, 271, 122]"
4,14,100,"[972, 84, 273, 120]"
5,14,150,"[971, 85, 273, 120]"
6,16,50,"[965, 91, 274, 119]"
7,16,100,"[971, 85, 275, 118]"
8,16,150,"[976, 80, 273, 120]"
