,Neighbors,Confusion Matrix
0,5,"[157, 154, 116, 353]"
1,10,"[181, 130, 143, 326]"
2,12,"[180, 131, 126, 343]"
3,14,"[179, 132, 128, 341]"
4,16,"[176, 135, 127, 342]"
5,20,"[173, 138, 127, 342]"
