,Neighbors,Confusion Matrix
0,5,"[164, 146, 113, 357]"
1,10,"[188, 122, 143, 327]"
2,12,"[181, 129, 131, 339]"
3,14,"[185, 125, 143, 327]"
4,16,"[176, 134, 134, 336]"
5,20,"[163, 147, 126, 344]"
