,Neighbors,Confusion Matrix
0,5,"[162, 148, 105, 365]"
1,10,"[196, 114, 128, 342]"
2,12,"[199, 111, 130, 340]"
3,14,"[197, 113, 130, 340]"
4,16,"[194, 116, 127, 343]"
5,20,"[192, 118, 125, 345]"
