,Neighbors,Confusion Matrix
0,5,"[137, 173, 114, 355]"
1,10,"[163, 147, 115, 354]"
2,12,"[166, 144, 108, 361]"
3,14,"[171, 139, 120, 349]"
4,16,"[182, 128, 127, 342]"
5,20,"[175, 135, 117, 352]"
