,Alpha,Confusion Matrix
0,0.0001,"[127, 183, 63, 406]"
1,0.0005,"[120, 190, 58, 411]"
2,0.0008,"[124, 186, 64, 405]"
3,0.001,"[127, 183, 65, 404]"
4,0.002,"[144, 166, 75, 394]"
5,0.003,"[144, 166, 76, 393]"
6,0.004,"[136, 174, 78, 391]"
7,0.005,"[135, 175, 77, 392]"
8,0.01,"[130, 180, 83, 386]"
