,Neighbors,Confusion Matrix
0,5,"[167, 144, 124, 345]"
1,10,"[175, 136, 141, 328]"
2,12,"[166, 145, 130, 339]"
3,14,"[166, 145, 119, 350]"
4,16,"[175, 136, 118, 351]"
5,20,"[171, 140, 114, 355]"
