,Neighbors,Confusion Matrix
0,5,"[136, 174, 114, 355]"
1,10,"[169, 141, 130, 339]"
2,12,"[167, 143, 130, 339]"
3,14,"[170, 140, 126, 343]"
4,16,"[156, 154, 120, 349]"
5,20,"[162, 148, 124, 345]"
