,Neighbors,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[164, 146, 113, 357]","[162, 149, 128, 341]","[162, 149, 134, 335]","[156, 155, 134, 335]","[162, 149, 125, 344]","[171, 139, 130, 339]","[173, 137, 140, 329]","[148, 162, 117, 352]","[166, 144, 119, 350]","[158, 152, 126, 343]"
1,10,"[188, 122, 143, 327]","[178, 133, 149, 320]","[200, 111, 166, 303]","[179, 132, 137, 332]","[174, 137, 138, 331]","[203, 107, 142, 327]","[191, 119, 146, 323]","[167, 143, 136, 333]","[195, 115, 136, 333]","[188, 122, 153, 316]"
2,12,"[181, 129, 131, 339]","[175, 136, 139, 330]","[189, 122, 147, 322]","[182, 129, 135, 334]","[174, 137, 145, 324]","[201, 109, 140, 329]","[187, 123, 140, 329]","[171, 139, 131, 338]","[202, 108, 140, 329]","[172, 138, 136, 333]"
3,14,"[185, 125, 143, 327]","[175, 136, 133, 336]","[195, 116, 143, 326]","[189, 122, 141, 328]","[176, 135, 131, 338]","[204, 106, 142, 327]","[186, 124, 138, 331]","[161, 149, 126, 343]","[202, 108, 134, 335]","[176, 134, 136, 333]"
4,16,"[176, 134, 134, 336]","[181, 130, 139, 330]","[190, 121, 147, 322]","[179, 132, 125, 344]","[178, 133, 129, 340]","[196, 114, 124, 345]","[193, 117, 139, 330]","[176, 134, 127, 342]","[200, 110, 129, 340]","[171, 139, 131, 338]"
5,20,"[163, 147, 126, 344]","[162, 149, 115, 354]","[190, 121, 143, 326]","[175, 136, 111, 358]","[173, 138, 123, 346]","[191, 119, 114, 355]","[198, 112, 133, 336]","[176, 134, 124, 345]","[199, 111, 125, 344]","[180, 130, 125, 344]"
