,Alpha,Confusion Matrix
0,0.0001,"[149, 161, 88, 381]"
1,0.0005,"[166, 144, 89, 380]"
2,0.0008,"[150, 160, 81, 388]"
3,0.001,"[159, 151, 93, 376]"
4,0.002,"[152, 158, 85, 384]"
5,0.003,"[149, 161, 80, 389]"
6,0.004,"[145, 165, 79, 390]"
7,0.005,"[138, 172, 76, 393]"
8,0.01,"[119, 191, 64, 405]"
