,Alpha,Confusion Matrix
0,0.0001,"[121, 189, 65, 405]"
1,0.0005,"[162, 148, 95, 375]"
2,0.0008,"[130, 180, 74, 396]"
3,0.001,"[134, 176, 75, 395]"
4,0.002,"[166, 144, 101, 369]"
5,0.003,"[164, 146, 95, 375]"
6,0.004,"[153, 157, 91, 379]"
7,0.005,"[143, 167, 79, 391]"
8,0.01,"[129, 181, 73, 397]"
