,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[160, 150, 107, 363]","[165, 146, 84, 385]","[122, 189, 65, 404]","[171, 140, 131, 338]","[146, 165, 102, 367]","[127, 183, 63, 406]","[161, 149, 104, 365]","[149, 161, 88, 381]","[178, 132, 111, 358]","[159, 151, 89, 380]"
1,0.0005,"[139, 171, 83, 387]","[161, 150, 93, 376]","[145, 166, 73, 396]","[134, 177, 97, 372]","[158, 153, 104, 365]","[120, 190, 58, 411]","[184, 126, 135, 334]","[166, 144, 89, 380]","[167, 143, 97, 372]","[145, 165, 73, 396]"
2,0.0008,"[137, 173, 77, 393]","[165, 146, 96, 373]","[166, 145, 90, 379]","[147, 164, 101, 368]","[141, 170, 89, 380]","[124, 186, 64, 405]","[172, 138, 121, 348]","[150, 160, 81, 388]","[173, 137, 100, 369]","[155, 155, 79, 390]"
3,0.001,"[140, 170, 75, 395]","[161, 150, 94, 375]","[163, 148, 87, 382]","[139, 172, 96, 373]","[140, 171, 89, 380]","[127, 183, 65, 404]","[173, 137, 116, 353]","[159, 151, 93, 376]","[179, 131, 102, 367]","[159, 151, 81, 388]"
4,0.002,"[162, 148, 99, 371]","[159, 152, 89, 380]","[139, 172, 70, 399]","[143, 168, 98, 371]","[130, 181, 84, 385]","[144, 166, 75, 394]","[155, 155, 99, 370]","[152, 158, 85, 384]","[153, 157, 79, 390]","[183, 127, 106, 363]"
5,0.003,"[145, 165, 85, 385]","[138, 173, 75, 394]","[142, 169, 69, 400]","[140, 171, 93, 376]","[123, 188, 78, 391]","[144, 166, 76, 393]","[156, 154, 99, 370]","[149, 161, 80, 389]","[152, 158, 74, 395]","[182, 128, 102, 367]"
6,0.004,"[137, 173, 76, 394]","[135, 176, 77, 392]","[146, 165, 74, 395]","[138, 173, 92, 377]","[128, 183, 77, 392]","[136, 174, 78, 391]","[146, 164, 87, 382]","[145, 165, 79, 390]","[148, 162, 69, 400]","[177, 133, 95, 374]"
7,0.005,"[137, 173, 82, 388]","[135, 176, 78, 391]","[146, 165, 75, 394]","[139, 172, 91, 378]","[150, 161, 92, 377]","[135, 175, 77, 392]","[143, 167, 90, 379]","[138, 172, 76, 393]","[137, 173, 67, 402]","[165, 145, 89, 380]"
8,0.01,"[136, 174, 81, 389]","[143, 168, 77, 392]","[143, 168, 72, 397]","[133, 178, 83, 386]","[142, 169, 84, 385]","[130, 180, 83, 386]","[139, 171, 74, 395]","[119, 191, 64, 405]","[142, 168, 75, 394]","[153, 157, 83, 386]"
