,Alpha,Confusion Matrix
0,0.0001,"[80, 230, 38, 431]"
1,0.0005,"[122, 188, 55, 414]"
2,0.0008,"[136, 174, 71, 398]"
3,0.001,"[144, 166, 62, 407]"
4,0.002,"[151, 159, 67, 402]"
5,0.003,"[136, 174, 64, 405]"
6,0.004,"[119, 191, 50, 419]"
7,0.005,"[119, 191, 58, 411]"
8,0.01,"[83, 227, 35, 434]"
