,Neighbors,Confusion Matrix
0,5,"[167, 144, 123, 346]"
1,10,"[178, 133, 144, 325]"
2,12,"[181, 130, 155, 314]"
3,14,"[178, 133, 150, 319]"
4,16,"[181, 130, 131, 338]"
5,20,"[180, 131, 145, 324]"
