,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
20,poly,10.0,10.0,3.0,"[997, 59, 321, 72]","[1009, 47, 315, 78]","[1004, 52, 324, 69]","[995, 61, 311, 82]","[994, 62, 323, 70]","[980, 76, 292, 101]","[1005, 51, 302, 91]","[1011, 45, 324, 69]","[1011, 45, 315, 78]","[1003, 53, 321, 71]"
21,linear,100.0,,,"[984, 72, 318, 75]","[999, 57, 313, 80]","[1001, 55, 315, 78]","[982, 74, 310, 83]","[995, 61, 308, 85]","[980, 76, 292, 101]","[999, 57, 297, 96]","[1002, 54, 311, 82]","[1017, 39, 315, 78]","[998, 58, 309, 83]"
22,rbf,100.0,1.0,,"[999, 57, 322, 71]","[1009, 47, 315, 78]","[1006, 50, 325, 68]","[996, 60, 312, 81]","[995, 61, 323, 70]","[980, 76, 292, 101]","[1006, 50, 302, 91]","[1011, 45, 324, 69]","[1011, 45, 315, 78]","[1003, 53, 321, 71]"
23,poly,100.0,1.0,2.0,"[958, 98, 285, 108]","[1005, 51, 347, 46]","[951, 105, 286, 107]","[972, 84, 313, 80]","[949, 107, 273, 120]","[980, 76, 292, 101]","[973, 83, 306, 87]","[1006, 50, 342, 51]","[1018, 38, 328, 65]","[979, 77, 317, 75]"
24,poly,100.0,1.0,3.0,"[998, 58, 321, 72]","[1009, 47, 315, 78]","[1004, 52, 325, 68]","[996, 60, 312, 81]","[994, 62, 323, 70]","[980, 76, 292, 101]","[1006, 50, 302, 91]","[1011, 45, 324, 69]","[1011, 45, 315, 78]","[1003, 53, 321, 71]"
25,rbf,100.0,10.0,,"[999, 57, 322, 71]","[1010, 46, 315, 78]","[1006, 50, 325, 68]","[997, 59, 312, 81]","[995, 61, 323, 70]","[980, 76, 292, 101]","[1006, 50, 302, 91]","[1013, 43, 325, 68]","[1011, 45, 315, 78]","[1004, 52, 321, 71]"
26,poly,100.0,10.0,2.0,"[953, 103, 284, 109]","[960, 96, 284, 109]","[980, 76, 309, 84]","[993, 63, 315, 78]","[934, 122, 321, 72]","[980, 76, 292, 101]","[965, 91, 270, 123]","[968, 88, 269, 124]","[1023, 33, 351, 42]","[960, 96, 292, 100]"
27,poly,100.0,10.0,3.0,"[998, 58, 321, 72]","[1009, 47, 315, 78]","[1004, 52, 325, 68]","[996, 60, 312, 81]","[994, 62, 323, 70]","[980, 76, 292, 101]","[1003, 53, 296, 97]","[1011, 45, 324, 69]","[1011, 45, 315, 78]","[1003, 53, 321, 71]"
28,linear,1000.0,,,"[985, 71, 325, 68]","[885, 171, 247, 146]","[446, 610, 152, 241]","[533, 523, 129, 264]","[1006, 50, 328, 65]","[1042, 14, 364, 29]","[928, 128, 249, 144]","[633, 423, 127, 266]","[948, 108, 266, 127]","[1016, 40, 335, 57]"
29,rbf,1000.0,1.0,,"[999, 57, 322, 71]","[1009, 47, 315, 78]","[1006, 50, 325, 68]","[996, 60, 312, 81]","[995, 61, 323, 70]","[980, 76, 292, 101]","[1006, 50, 302, 91]","[1011, 45, 324, 69]","[1011, 45, 315, 78]","[1003, 53, 321, 71]"
30,poly,1000.0,1.0,2.0,"[940, 116, 278, 115]","[829, 227, 294, 99]","[957, 99, 300, 93]","[984, 72, 318, 75]","[961, 95, 343, 50]","[980, 76, 292, 101]","[972, 84, 271, 122]","[959, 97, 265, 128]","[1001, 55, 307, 86]","[955, 101, 319, 73]"
31,poly,1000.0,1.0,3.0,"[998, 58, 321, 72]","[1009, 47, 315, 78]","[1004, 52, 325, 68]","[995, 61, 311, 82]","[994, 62, 323, 70]","[980, 76, 292, 101]","[1002, 54, 296, 97]","[1011, 45, 324, 69]","[1011, 45, 315, 78]","[1004, 52, 323, 69]"
32,rbf,1000.0,10.0,,"[999, 57, 322, 71]","[1010, 46, 315, 78]","[1006, 50, 325, 68]","[997, 59, 312, 81]","[995, 61, 323, 70]","[980, 76, 292, 101]","[1006, 50, 302, 91]","[1013, 43, 325, 68]","[1011, 45, 315, 78]","[1004, 52, 321, 71]"
33,poly,1000.0,10.0,2.0,"[975, 81, 293, 100]","[1001, 55, 330, 63]","[987, 69, 327, 66]","[940, 116, 289, 104]","[970, 86, 314, 79]","[980, 76, 292, 101]","[982, 74, 303, 90]","[968, 88, 275, 118]","[888, 168, 291, 102]","[982, 74, 320, 72]"
34,poly,1000.0,10.0,3.0,"[1000, 56, 322, 71]","[1009, 47, 315, 78]","[1004, 52, 325, 68]","[996, 60, 312, 81]","[994, 62, 323, 70]","[980, 76, 292, 101]","[1003, 53, 296, 97]","[1011, 45, 324, 69]","[1011, 45, 315, 78]","[1003, 53, 321, 71]"
