,Neighbors,Confusion Matrix
0,5,"[159, 152, 136, 333]"
1,10,"[196, 115, 143, 326]"
2,12,"[199, 112, 139, 330]"
3,14,"[193, 118, 136, 333]"
4,16,"[194, 117, 133, 336]"
5,20,"[196, 115, 130, 339]"
