,Neighbors,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,12,50,"[975, 81, 311, 82]","[987, 69, 300, 93]","[985, 71, 310, 83]","[974, 82, 290, 103]","[978, 78, 295, 98]","[982, 74, 297, 96]","[968, 88, 295, 98]","[988, 68, 308, 85]","[1003, 53, 307, 86]","[966, 90, 294, 98]"
1,12,100,"[971, 85, 311, 82]","[994, 62, 300, 93]","[983, 73, 309, 84]","[971, 85, 290, 103]","[967, 89, 292, 101]","[988, 68, 299, 94]","[968, 88, 293, 100]","[987, 69, 311, 82]","[995, 61, 301, 92]","[969, 87, 298, 94]"
2,12,150,"[970, 86, 311, 82]","[994, 62, 299, 94]","[983, 73, 309, 84]","[969, 87, 290, 103]","[968, 88, 292, 101]","[989, 67, 304, 89]","[966, 90, 292, 101]","[978, 78, 308, 85]","[996, 60, 297, 96]","[966, 90, 296, 96]"
3,14,50,"[974, 82, 312, 81]","[987, 69, 299, 94]","[986, 70, 310, 83]","[976, 80, 294, 99]","[971, 85, 287, 106]","[989, 67, 301, 92]","[971, 85, 295, 98]","[975, 81, 302, 91]","[1006, 50, 313, 80]","[967, 89, 296, 96]"
4,14,100,"[972, 84, 313, 80]","[994, 62, 301, 92]","[983, 73, 309, 84]","[972, 84, 291, 102]","[971, 85, 290, 103]","[989, 67, 301, 92]","[970, 86, 292, 101]","[978, 78, 303, 90]","[997, 59, 302, 91]","[968, 88, 299, 93]"
5,14,150,"[970, 86, 311, 82]","[992, 64, 299, 94]","[983, 73, 309, 84]","[973, 83, 293, 100]","[972, 84, 289, 104]","[986, 70, 301, 92]","[972, 84, 296, 97]","[980, 76, 305, 88]","[1003, 53, 305, 88]","[967, 89, 299, 93]"
6,16,50,"[976, 80, 311, 82]","[993, 63, 301, 92]","[983, 73, 309, 84]","[974, 82, 291, 102]","[978, 78, 293, 100]","[996, 60, 304, 89]","[977, 79, 295, 98]","[978, 78, 307, 86]","[1010, 46, 315, 78]","[968, 88, 298, 94]"
7,16,100,"[976, 80, 314, 79]","[995, 61, 301, 92]","[983, 73, 309, 84]","[970, 86, 289, 104]","[979, 77, 293, 100]","[989, 67, 302, 91]","[973, 83, 293, 100]","[981, 75, 310, 83]","[997, 59, 305, 88]","[968, 88, 299, 93]"
8,16,150,"[974, 82, 315, 78]","[995, 61, 300, 93]","[987, 69, 310, 83]","[972, 84, 292, 101]","[977, 79, 293, 100]","[998, 58, 307, 86]","[973, 83, 295, 98]","[981, 75, 309, 84]","[1003, 53, 308, 85]","[972, 84, 301, 91]"
