,Neighbors,Confusion Matrix
0,5,"[162, 149, 128, 341]"
1,10,"[178, 133, 149, 320]"
2,12,"[175, 136, 139, 330]"
3,14,"[175, 136, 133, 336]"
4,16,"[181, 130, 139, 330]"
5,20,"[162, 149, 115, 354]"
