,Neighbors,Estimators,Confusion Matrix
0,12,50,"[973, 83, 284, 109]"
1,12,100,"[971, 85, 283, 110]"
2,12,150,"[971, 85, 280, 113]"
3,14,50,"[976, 80, 284, 109]"
4,14,100,"[978, 78, 282, 111]"
5,14,150,"[976, 80, 281, 112]"
6,16,50,"[978, 78, 282, 111]"
7,16,100,"[981, 75, 283, 110]"
8,16,150,"[978, 78, 282, 111]"
