,Neighbors,Confusion Matrix
0,5,"[173, 137, 140, 329]"
1,10,"[191, 119, 146, 323]"
2,12,"[187, 123, 140, 329]"
3,14,"[186, 124, 138, 331]"
4,16,"[193, 117, 139, 330]"
5,20,"[198, 112, 133, 336]"
