,Alpha,Confusion Matrix
0,0.0001,"[108, 202, 49, 420]"
1,0.0005,"[118, 192, 52, 417]"
2,0.0008,"[110, 200, 56, 413]"
3,0.001,"[132, 178, 76, 393]"
4,0.002,"[121, 189, 61, 408]"
5,0.003,"[123, 187, 55, 414]"
6,0.004,"[126, 184, 57, 412]"
7,0.005,"[86, 224, 56, 413]"
8,0.01,"[66, 244, 36, 433]"
