,Neighbors,Estimators,Confusion Matrix
0,12,50,"[965, 91, 279, 114]"
1,12,100,"[968, 88, 276, 117]"
2,12,150,"[966, 90, 276, 117]"
3,14,50,"[967, 89, 284, 109]"
4,14,100,"[969, 87, 283, 110]"
5,14,150,"[969, 87, 282, 111]"
6,16,50,"[974, 82, 284, 109]"
7,16,100,"[979, 77, 283, 110]"
8,16,150,"[979, 77, 281, 112]"
