,Neighbors,Confusion Matrix
0,5,"[162, 149, 134, 335]"
1,10,"[200, 111, 166, 303]"
2,12,"[189, 122, 147, 322]"
3,14,"[195, 116, 143, 326]"
4,16,"[190, 121, 147, 322]"
5,20,"[190, 121, 143, 326]"
