,Neighbors,Confusion Matrix
0,5,"[166, 144, 119, 350]"
1,10,"[195, 115, 136, 333]"
2,12,"[202, 108, 140, 329]"
3,14,"[202, 108, 134, 335]"
4,16,"[200, 110, 129, 340]"
5,20,"[199, 111, 125, 344]"
