,Neighbors,Confusion Matrix
0,5,"[156, 155, 134, 335]"
1,10,"[179, 132, 137, 332]"
2,12,"[182, 129, 135, 334]"
3,14,"[189, 122, 141, 328]"
4,16,"[179, 132, 125, 344]"
5,20,"[175, 136, 111, 358]"
