,Alpha,Confusion Matrix
0,0.0001,"[84, 226, 35, 434]"
1,0.0005,"[119, 191, 54, 415]"
2,0.0008,"[101, 209, 40, 429]"
3,0.001,"[112, 198, 44, 425]"
4,0.002,"[160, 150, 77, 392]"
5,0.003,"[76, 234, 41, 428]"
6,0.004,"[135, 175, 64, 405]"
7,0.005,"[146, 164, 74, 395]"
8,0.01,"[106, 204, 50, 419]"
