,Alpha,Confusion Matrix
0,0.0001,"[146, 165, 102, 367]"
1,0.0005,"[158, 153, 104, 365]"
2,0.0008,"[141, 170, 89, 380]"
3,0.001,"[140, 171, 89, 380]"
4,0.002,"[130, 181, 84, 385]"
5,0.003,"[123, 188, 78, 391]"
6,0.004,"[128, 183, 77, 392]"
7,0.005,"[150, 161, 92, 377]"
8,0.01,"[142, 169, 84, 385]"
