,Alpha,Confusion Matrix
0,0.0001,"[150, 161, 77, 392]"
1,0.0005,"[182, 129, 111, 358]"
2,0.0008,"[154, 157, 88, 381]"
3,0.001,"[154, 157, 84, 385]"
4,0.002,"[154, 157, 81, 388]"
5,0.003,"[166, 145, 88, 381]"
6,0.004,"[164, 147, 81, 388]"
7,0.005,"[164, 147, 90, 379]"
8,0.01,"[141, 170, 67, 402]"
