,Neighbors,Confusion Matrix
0,5,"[179, 132, 129, 340]"
1,10,"[194, 117, 156, 313]"
2,12,"[193, 118, 153, 316]"
3,14,"[190, 121, 141, 328]"
4,16,"[194, 117, 146, 323]"
5,20,"[182, 129, 142, 327]"
