,Neighbors,Confusion Matrix
0,5,"[164, 146, 119, 350]"
1,10,"[194, 116, 154, 315]"
2,12,"[186, 124, 141, 328]"
3,14,"[187, 123, 140, 329]"
4,16,"[191, 119, 134, 335]"
5,20,"[184, 126, 142, 327]"
