,Neighbors,Confusion Matrix
0,5,"[155, 155, 131, 338]"
1,10,"[177, 133, 140, 329]"
2,12,"[170, 140, 131, 338]"
3,14,"[168, 142, 121, 348]"
4,16,"[167, 143, 123, 346]"
5,20,"[172, 138, 133, 336]"
