,Alpha,Confusion Matrix
0,0.0001,"[84, 226, 43, 426]"
1,0.0005,"[112, 198, 62, 407]"
2,0.0008,"[114, 196, 54, 415]"
3,0.001,"[118, 192, 66, 403]"
4,0.002,"[122, 188, 68, 401]"
5,0.003,"[129, 181, 71, 398]"
6,0.004,"[148, 162, 75, 394]"
7,0.005,"[121, 189, 69, 400]"
8,0.01,"[55, 255, 26, 443]"
