,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[994, 62, 302, 91]","[976, 80, 310, 83]","[1003, 53, 312, 81]","[991, 65, 315, 78]","[1004, 52, 317, 76]","[1010, 46, 304, 89]","[986, 70, 306, 87]","[1000, 56, 301, 92]","[992, 64, 321, 72]","[998, 58, 312, 80]"
1,rbf,0.1,1.0,,"[1018, 38, 325, 68]","[976, 80, 310, 83]","[1019, 37, 338, 55]","[1004, 52, 331, 62]","[1024, 32, 337, 56]","[1028, 28, 327, 66]","[1005, 51, 324, 69]","[1016, 40, 321, 72]","[1005, 51, 336, 57]","[1017, 39, 333, 59]"
2,poly,0.1,1.0,2.0,"[999, 57, 313, 80]","[976, 80, 310, 83]","[1020, 36, 338, 55]","[1002, 54, 332, 61]","[1007, 49, 319, 74]","[1023, 33, 322, 71]","[987, 69, 312, 81]","[1004, 52, 308, 85]","[1004, 52, 335, 58]","[1018, 38, 334, 58]"
3,poly,0.1,1.0,3.0,"[1010, 46, 311, 82]","[975, 81, 310, 83]","[1016, 40, 330, 63]","[1000, 56, 328, 65]","[1015, 41, 324, 69]","[1020, 36, 321, 72]","[1000, 56, 320, 73]","[1013, 43, 319, 74]","[997, 59, 326, 67]","[1008, 48, 323, 69]"
4,rbf,0.1,10.0,,"[1020, 36, 329, 64]","[977, 79, 311, 82]","[1022, 34, 341, 52]","[1006, 50, 335, 58]","[1024, 32, 341, 52]","[1024, 32, 325, 68]","[1006, 50, 326, 67]","[1016, 40, 323, 70]","[1009, 47, 345, 48]","[1020, 36, 335, 57]"
5,poly,0.1,10.0,2.0,"[1011, 45, 314, 79]","[975, 81, 310, 83]","[1020, 36, 338, 55]","[994, 62, 328, 65]","[1014, 42, 323, 70]","[1020, 36, 320, 73]","[1000, 56, 324, 69]","[1013, 43, 312, 81]","[936, 120, 306, 87]","[1011, 45, 330, 62]"
6,poly,0.1,10.0,3.0,"[1005, 51, 305, 88]","[975, 81, 310, 83]","[1013, 43, 325, 68]","[989, 67, 317, 76]","[1011, 45, 321, 72]","[1016, 40, 313, 80]","[994, 62, 313, 80]","[1009, 47, 305, 88]","[990, 66, 323, 70]","[1006, 50, 322, 70]"
7,linear,1.0,,,"[994, 62, 302, 91]","[976, 80, 310, 83]","[1003, 53, 312, 81]","[991, 65, 315, 78]","[1004, 52, 317, 76]","[1010, 46, 304, 89]","[986, 70, 306, 87]","[1000, 56, 301, 92]","[992, 64, 321, 72]","[998, 58, 312, 80]"
8,rbf,1.0,1.0,,"[1005, 51, 305, 88]","[975, 81, 310, 83]","[1015, 41, 326, 67]","[992, 64, 317, 76]","[1013, 43, 321, 72]","[1016, 40, 313, 80]","[999, 57, 318, 75]","[1010, 46, 306, 87]","[992, 64, 323, 70]","[1010, 46, 323, 69]"
9,poly,1.0,1.0,2.0,"[994, 62, 302, 91]","[975, 81, 310, 83]","[1020, 36, 338, 55]","[998, 58, 332, 61]","[1007, 49, 320, 73]","[1021, 35, 322, 71]","[987, 69, 312, 81]","[1002, 54, 306, 87]","[998, 58, 332, 61]","[1013, 43, 331, 61]"
10,poly,1.0,1.0,3.0,"[1006, 50, 307, 86]","[975, 81, 310, 83]","[1013, 43, 325, 68]","[991, 65, 320, 73]","[1011, 45, 321, 72]","[1017, 39, 316, 77]","[994, 62, 313, 80]","[1009, 47, 305, 88]","[991, 65, 323, 70]","[1006, 50, 322, 70]"
11,rbf,1.0,10.0,,"[1005, 51, 305, 88]","[975, 81, 310, 83]","[1015, 41, 326, 67]","[992, 64, 317, 76]","[1012, 44, 321, 72]","[1016, 40, 313, 80]","[996, 60, 313, 80]","[1011, 45, 306, 87]","[990, 66, 323, 70]","[1008, 48, 322, 70]"
12,poly,1.0,10.0,2.0,"[985, 71, 271, 122]","[975, 81, 310, 83]","[991, 65, 310, 83]","[949, 107, 290, 103]","[965, 91, 313, 80]","[1030, 26, 352, 41]","[904, 152, 282, 111]","[995, 61, 309, 84]","[955, 101, 306, 87]","[962, 94, 309, 83]"
13,poly,1.0,10.0,3.0,"[1005, 51, 305, 88]","[975, 81, 310, 83]","[1013, 43, 325, 68]","[989, 67, 318, 75]","[1011, 45, 321, 72]","[1016, 40, 313, 80]","[994, 62, 313, 80]","[1009, 47, 305, 88]","[989, 67, 323, 70]","[1006, 50, 322, 70]"
14,linear,10.0,,,"[994, 62, 302, 91]","[976, 80, 310, 83]","[1003, 53, 312, 81]","[991, 65, 315, 78]","[1004, 52, 317, 76]","[1010, 46, 304, 89]","[986, 70, 306, 87]","[1000, 56, 301, 92]","[992, 64, 321, 72]","[998, 58, 312, 80]"
15,rbf,10.0,1.0,,"[1005, 51, 305, 88]","[975, 81, 310, 83]","[1015, 41, 326, 67]","[989, 67, 317, 76]","[1012, 44, 321, 72]","[1016, 40, 313, 80]","[995, 61, 313, 80]","[1010, 46, 305, 88]","[990, 66, 323, 70]","[1008, 48, 322, 70]"
16,poly,10.0,1.0,2.0,"[1011, 45, 313, 80]","[975, 81, 310, 83]","[1020, 36, 338, 55]","[996, 60, 324, 69]","[1015, 41, 324, 69]","[1019, 37, 315, 78]","[1001, 55, 322, 71]","[1001, 55, 307, 86]","[983, 73, 318, 75]","[1011, 45, 330, 62]"
17,poly,10.0,1.0,3.0,"[1005, 51, 305, 88]","[975, 81, 310, 83]","[1013, 43, 325, 68]","[988, 68, 318, 75]","[1011, 45, 321, 72]","[1015, 41, 313, 80]","[994, 62, 313, 80]","[1009, 47, 305, 88]","[990, 66, 323, 70]","[1006, 50, 322, 70]"
18,rbf,10.0,10.0,,"[1005, 51, 305, 88]","[975, 81, 310, 83]","[1015, 41, 326, 67]","[992, 64, 317, 76]","[1012, 44, 321, 72]","[1016, 40, 313, 80]","[996, 60, 313, 80]","[1011, 45, 306, 87]","[990, 66, 323, 70]","[1008, 48, 322, 70]"
19,poly,10.0,10.0,2.0,"[987, 69, 337, 56]","[975, 81, 310, 83]","[1021, 35, 332, 61]","[936, 120, 307, 86]","[981, 75, 348, 45]","[976, 80, 271, 122]","[970, 86, 312, 81]","[984, 72, 340, 53]","[949, 107, 306, 87]","[950, 106, 276, 116]"
20,poly,10.0,10.0,3.0,"[1005, 51, 305, 88]","[975, 81, 310, 83]","[1013, 43, 325, 68]","[989, 67, 317, 76]","[1011, 45, 321, 72]","[1016, 40, 313, 80]","[994, 62, 313, 80]","[1009, 47, 305, 88]","[983, 73, 320, 73]","[1006, 50, 322, 70]"
21,linear,100.0,,,"[994, 62, 302, 91]","[976, 80, 310, 83]","[1003, 53, 312, 81]","[991, 65, 315, 78]","[1004, 52, 317, 76]","[1010, 46, 304, 89]","[986, 70, 306, 87]","[1000, 56, 301, 92]","[992, 64, 321, 72]","[998, 58, 312, 80]"
22,rbf,100.0,1.0,,"[1005, 51, 305, 88]","[975, 81, 310, 83]","[1015, 41, 326, 67]","[989, 67, 317, 76]","[1012, 44, 321, 72]","[1016, 40, 313, 80]","[995, 61, 313, 80]","[1010, 46, 305, 88]","[990, 66, 323, 70]","[1008, 48, 322, 70]"
23,poly,100.0,1.0,2.0,"[946, 110, 268, 125]","[975, 81, 310, 83]","[865, 191, 243, 150]","[973, 83, 314, 79]","[972, 84, 294, 99]","[917, 139, 293, 100]","[780, 276, 259, 134]","[996, 60, 304, 89]","[1006, 50, 350, 43]","[969, 87, 297, 95]"
24,poly,100.0,1.0,3.0,"[1004, 52, 305, 88]","[975, 81, 310, 83]","[1013, 43, 325, 68]","[989, 67, 316, 77]","[1011, 45, 321, 72]","[1015, 41, 313, 80]","[994, 62, 313, 80]","[1009, 47, 305, 88]","[990, 66, 324, 69]","[1006, 50, 322, 70]"
25,rbf,100.0,10.0,,"[1005, 51, 305, 88]","[975, 81, 310, 83]","[1015, 41, 326, 67]","[992, 64, 317, 76]","[1012, 44, 321, 72]","[1016, 40, 313, 80]","[996, 60, 313, 80]","[1011, 45, 306, 87]","[990, 66, 323, 70]","[1008, 48, 322, 70]"
26,poly,100.0,10.0,2.0,"[966, 90, 294, 99]","[975, 81, 310, 83]","[636, 420, 147, 246]","[943, 113, 329, 64]","[961, 95, 285, 108]","[966, 90, 261, 132]","[942, 114, 274, 119]","[978, 78, 343, 50]","[926, 130, 303, 90]","[957, 99, 301, 91]"
27,poly,100.0,10.0,3.0,"[1005, 51, 305, 88]","[975, 81, 310, 83]","[1013, 43, 325, 68]","[988, 68, 317, 76]","[1011, 45, 321, 72]","[1016, 40, 313, 80]","[994, 62, 313, 80]","[1009, 47, 305, 88]","[986, 70, 321, 72]","[1006, 50, 322, 70]"
