,Alpha,Confusion Matrix
0,0.0001,"[159, 151, 89, 380]"
1,0.0005,"[145, 165, 73, 396]"
2,0.0008,"[155, 155, 79, 390]"
3,0.001,"[159, 151, 81, 388]"
4,0.002,"[183, 127, 106, 363]"
5,0.003,"[182, 128, 102, 367]"
6,0.004,"[177, 133, 95, 374]"
7,0.005,"[165, 145, 89, 380]"
8,0.01,"[153, 157, 83, 386]"
