,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[0, 310, 1, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[41, 270, 15, 454]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]"
1,25,0.2,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[80, 231, 47, 422]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
2,25,0.3,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[144, 167, 101, 368]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
3,25,0.4,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[144, 167, 102, 367]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
4,25,0.5,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 106, 363]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
5,50,0.1,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[80, 231, 47, 422]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
6,50,0.2,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[144, 167, 102, 367]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
7,50,0.3,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 106, 363]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
8,50,0.4,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 108, 361]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
9,50,0.5,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 108, 361]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
10,75,0.1,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[144, 167, 101, 368]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
11,75,0.2,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 106, 363]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
12,75,0.3,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 108, 361]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
13,75,0.4,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 108, 361]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
14,75,0.5,"[144, 166, 98, 372]","[142, 169, 108, 361]","[150, 161, 105, 364]","[138, 173, 82, 387]","[146, 165, 108, 361]","[152, 158, 119, 350]","[136, 174, 110, 359]","[136, 174, 100, 369]","[162, 148, 94, 375]","[161, 149, 115, 354]"
