,Alpha,Confusion Matrix
0,0.0001,"[130, 180, 61, 408]"
1,0.0005,"[169, 141, 92, 377]"
2,0.0008,"[154, 156, 83, 386]"
3,0.001,"[154, 156, 85, 384]"
4,0.002,"[150, 160, 79, 390]"
5,0.003,"[147, 163, 77, 392]"
6,0.004,"[150, 160, 80, 389]"
7,0.005,"[150, 160, 78, 391]"
8,0.01,"[145, 165, 82, 387]"
