,Neighbors,Estimators,Confusion Matrix
0,12,50,"[1000, 56, 300, 93]"
1,12,100,"[1000, 56, 300, 93]"
2,12,150,"[1000, 56, 301, 92]"
3,14,50,"[1000, 56, 303, 90]"
4,14,100,"[1000, 56, 303, 90]"
5,14,150,"[1000, 56, 303, 90]"
6,16,50,"[1000, 56, 303, 90]"
7,16,100,"[1000, 56, 303, 90]"
8,16,150,"[998, 58, 303, 90]"
