,Neighbors,Confusion Matrix
0,5,"[162, 149, 124, 345]"
1,10,"[198, 113, 162, 307]"
2,12,"[183, 128, 135, 334]"
3,14,"[190, 121, 145, 324]"
4,16,"[182, 129, 123, 346]"
5,20,"[195, 116, 131, 338]"
