,Alpha,Confusion Matrix
0,0.0001,"[171, 139, 122, 347]"
1,0.0005,"[130, 180, 73, 396]"
2,0.0008,"[133, 177, 69, 400]"
3,0.001,"[133, 177, 69, 400]"
4,0.002,"[133, 177, 69, 400]"
5,0.003,"[132, 178, 69, 400]"
6,0.004,"[133, 177, 74, 395]"
7,0.005,"[128, 182, 71, 398]"
8,0.01,"[122, 188, 68, 401]"
