,Alpha,Confusion Matrix
0,0.0001,"[122, 189, 73, 396]"
1,0.0005,"[159, 152, 97, 372]"
2,0.0008,"[154, 157, 91, 378]"
3,0.001,"[144, 167, 86, 383]"
4,0.002,"[125, 186, 69, 400]"
5,0.003,"[119, 192, 63, 406]"
6,0.004,"[119, 192, 64, 405]"
7,0.005,"[121, 190, 67, 402]"
8,0.01,"[130, 181, 70, 399]"
