,0
0,7
1,10
2,10
3,5
4,5
5,10
6,9
7,10
8,8
9,10
10,10
11,9
12,10
13,8
14,10
15,7
16,7
17,1
18,9
19,0
20,9
21,1
22,6
23,3
24,4
25,6
26,5
27,3
28,5
29,2
30,6
31,5
32,6
33,10
34,5
35,10
36,7
37,1
38,6
39,7
40,9
41,0
42,1
43,6
44,10
45,3
46,1
47,4
48,8
49,3
50,2
51,8
52,1
53,3
54,5
55,1
56,1
57,4
58,4
59,2
60,6
61,2
62,2
63,3
64,1
65,3
66,2
67,0
68,3
69,7
70,5
71,1
72,10
73,1
74,6
75,1
76,2
77,7
