,0
0,5
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,9
14,10
15,10
16,10
17,9
18,10
19,9
20,9
21,7
22,10
23,7
24,6
25,8
26,3
27,8
28,10
29,9
30,8
31,7
32,10
33,10
34,5
35,7
36,6
37,9
38,10
39,9
40,4
41,10
42,8
43,8
44,8
45,7
46,9
47,4
48,8
49,8
50,7
51,6
52,7
53,9
54,9
55,9
56,7
57,5
58,7
59,6
60,8
61,10
62,8
63,10
64,5
65,5
66,8
67,9
68,10
69,9
70,10
71,8
72,10
73,9
74,9
75,10
76,10
77,10
78,10
79,10
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,8
92,8
