,0,1
const,-1.7067751747627917,-0.5221278266515043
All_Population_Count_2015,-0.004620671266947096,0.11095285172083878
Annual_Precipitation_2015,-0.24073475284166668,-0.037032912366503704
Day_Land_Surface_Temp_2015,-0.0934782942463557,0.12164861695510867
Diurnal_Temperature_Range_2015,-0.12421441555711356,-0.0053759767933894
Enhanced_Vegetation_Index_2015,-0.15429827319128042,0.017649716934853094
Global_Human_Footprint,-0.09136643358487692,0.08183556113700133
Gross_Cell_Production,-0.14881616776466444,-0.013298450668298559
Growing_Season_Length,0.03505326901249786,0.24165170950975837
Irrigation,-0.0009594540637969662,0.08260064269915283
ITN_Coverage_2015,0.04577489199379209,0.17629803999782284
Land_Surface_Temperature_2015,-0.16420823806167473,0.06266321586765596
Malaria_Prevalence_2015,0.005109314619322382,0.09861832343216898
Mean_Temperature_2015,-0.01621246664461512,0.14885254962352865
Nightlights_Composite,-0.07777293841202207,0.1441635355083996
Proximity_to_Water,-0.16071439754289224,-0.005474917313023811
V025,-0.07784300186636706,0.3145905010533441
HannahToilet,-0.20644523276319654,0.053307042307868036
HIV,0.4553814838238168,1.0057590913152998
HouseholdAmenities,-0.016720660690630176,0.21592375628349808
TransportationAccess,-0.07189444205179873,0.2795014805736812
HannahFloor,-0.13046653167558134,0.18090710746840924
V151,-0.108808378256037,0.08970306063783497
V404,-0.05325477396450415,0.194893056822062
V213,0.04075824658778687,0.381717096477446
V216,-0.027053408118287436,0.16238420680241256
HannahMaritalStatus,-0.2831762425115826,0.00037235008889863197
MaternalIronRecode,-0.0917409567550651,0.34377483050763075
WaterTime_1.0,-0.017843741806245372,0.43064190945400765
WaterTime_2.0,-0.11936382642159124,0.33455174067570637
MaternalOccRecode_1.0,-0.00669372928172049,0.26509386698989523
MaternalOccRecode_2.0,-0.026238621690590394,0.17578832259776245
HusbandOccNew_1.0,-0.08958895639063147,0.14484783796244965
HusbandOccNew_2.0,-0.13940954397043864,0.20040626267366635
HannahReligion_1.0,-0.7081217879435007,-0.08408168570822622
HannahReligion_2.0,-0.42642294165401023,0.1829019921552521
HannahReligion_3.0,-0.505104625430604,0.11060920104190103
HannahHouseholdNum_1.0,0.018770112513157217,0.21360317743135943
HannahHouseholdNum_2.0,-0.114518688661225,0.26237620139807993
V158_1.0,-0.05304059190756891,0.1992435435091067
V158_2.0,-0.12467417090016344,0.13996755250267892
V157_1.0,-0.35866537150967936,-0.0397838950111416
V157_2.0,-0.1649766418998319,0.28673152278595754
V159_1.0,-0.10681871215764013,0.19416583471614887
V159_2.0,-0.20907509634211624,0.12392874558853983
V190_1.0,-0.08833164363891136,0.37204150648313716
V190_2.0,-0.14891604566034738,0.3008453524159256
V190_3.0,-0.15451708680188697,0.28354086037972026
V190_4.0,-0.2756626279877067,0.13881012691237532
HannahRecentBirths_1.0,-0.0050741861906859476,0.28209879991876324
HannahRecentBirths_2.0,-0.006748721733684487,0.5028638907862927
HannahAllChildrenBorn_1.0,-0.006694187763424397,0.34624174671537167
HannahAllChildrenBorn_2.0,0.018419537712216716,0.45753154779345545
HannahContraception_1.0,-0.6319555217317097,0.08161017978471713
HannahContraception_2.0,-0.03729964518299522,0.6529808897255142
HannahContraception_3.0,-0.4853563527314596,-0.2426362714720928
HannahBMI_1.0,-0.19635450276334915,-0.008555626175521927
HannahBMI_2.0,-0.46469736836174175,-0.15014749671211475
V106_1.0,-0.19025729621321263,0.02580154577747064
V106_2.0,-0.2193181504103844,0.10676458553617593
V106_3.0,-0.41618446534718867,0.034115404369744556
HannahWater_1.0,-0.16023171626567964,0.328787070318192
HannahWater_2.0,-0.054953643241186734,0.13837561759882303
V013_1.0,-0.0014675943775772637,0.5086616472594025
V013_2.0,0.017516637447158506,0.49471767691004886
V013_3.0,-0.012307005098039725,0.42625546717122725
V013_4.0,-0.012252452640552497,0.4039360319556351
V013_5.0,-0.03881422291374628,0.3699593957442241
V013_6.0,-0.07550780008230398,0.3449241151194976
V024_1.0,-1.0148651904005437,-0.5096923424770236
V024_2.0,-0.483760986208742,0.06213589596730967
V024_3.0,-1.2297763954624008,-0.6303082594997953
V024_4.0,-0.989674000624567,-0.37701930831382263
V024_5.0,0.3375734367807078,0.8767383569775573
V024_6.0,-1.200720960318383,-0.5022639485314194
V024_7.0,-1.2969562351219976,-0.6104793335804023
V024_8.0,-0.9396451245215746,-0.1967531743496015
V024_9.0,-0.6732332256691399,-0.0547231464027903
V024_10.0,-0.8030937964759812,-0.012088144364370168
