,0
const,0.3280951895340977
All_Population_Count_2015,1.0546047901229463
Annual_Precipitation_2015,0.8703291264542015
Day_Land_Surface_Temp_2015,1.0141848246141834
Diurnal_Temperature_Range_2015,0.9372593980317553
Enhanced_Vegetation_Index_2015,0.9339575624559581
Global_Human_Footprint,0.9952459004520465
Gross_Cell_Production,0.92214084276108
Growing_Season_Length,1.148380270653291
Irrigation,1.0416652081233366
ITN_Coverage_2015,1.1174356545153945
Land_Surface_Temperature_2015,0.9504948729756176
Malaria_Prevalence_2015,1.0532323025456123
Mean_Temperature_2015,1.0685686487488606
Nightlights_Composite,1.033752409872978
Proximity_to_Water,0.9202640332707669
V025,1.1256647494983099
HannahToilet,0.926288909934535
HIV,2.076264337851732
HouseholdAmenities,1.1047306480071377
TransportationAccess,1.109382461214624
HannahFloor,1.0255410099149265
V151,0.9904928228971058
V404,1.0733870770590244
V213,1.235205893454947
V216,1.0700072234534073
HannahMaritalStatus,0.8681402958567365
MaternalIronRecode,1.1343013796424688
WaterTime_1.0,1.229243677386057
WaterTime_2.0,1.1135954860638868
MaternalOccRecode_1.0,1.1379177632961706
MaternalOccRecode_2.0,1.077641493075146
HusbandOccNew_1.0,1.028014673522741
HusbandOccNew_2.0,1.0309681985910821
HannahReligion_1.0,0.6729382298551769
HannahReligion_2.0,0.8853604092809759
HannahReligion_3.0,0.8209872395714942
HannahHouseholdNum_1.0,1.1232054932284086
HannahHouseholdNum_2.0,1.0767300926015795
V158_1.0,1.0758397030711164
V158_2.0,1.0076760014034356
V157_1.0,0.8193658158440544
V157_2.0,1.0627686537496972
V159_1.0,1.0446412878570837
V159_2.0,0.9583203375033755
V190_1.0,1.1524094580090352
V190_2.0,1.0789244371488067
V190_3.0,1.0666382570731057
V190_4.0,0.9338623294086427
HannahRecentBirths_1.0,1.1485638167019308
HannahRecentBirths_2.0,1.2815337265818814
HannahAllChildrenBorn_1.0,1.1850367413628997
HannahAllChildrenBorn_2.0,1.2686781640700433
HannahContraception_1.0,0.759440978489781
HannahContraception_2.0,1.3604841407848804
HannahContraception_3.0,0.694893757435639
HannahBMI_1.0,0.902618708492218
HannahBMI_2.0,0.735339903786526
V106_1.0,0.921062047565723
V106_2.0,0.9452774634788215
V106_3.0,0.8261040618816916
HannahWater_1.0,1.0879309453001684
HannahWater_2.0,1.042593112426728
V013_1.0,1.2886524067763199
V013_2.0,1.291904074910282
V013_3.0,1.2299508768132452
V013_4.0,1.2163344534203562
V013_5.0,1.1800686165613816
V013_6.0,1.144202808632634
V024_1.0,0.4666019377733045
V024_2.0,0.8099258772095795
V024_3.0,0.3945370102603225
V024_4.0,0.5049243542611666
V024_5.0,1.835204458598423
V024_6.0,0.42677751042187717
V024_7.0,0.3853058731722096
V024_8.0,0.5665447830729705
V024_9.0,0.6949063532397738
V024_10.0,0.6652509304885951
