,0
const,0.00022633106080573358
All_Population_Count_2015,0.0713499272657136
Annual_Precipitation_2015,0.007526474717019108
Day_Land_Surface_Temp_2015,0.7974471923583363
Diurnal_Temperature_Range_2015,0.032574209953720346
Enhanced_Vegetation_Index_2015,0.11932801678419326
Global_Human_Footprint,0.9141131611483018
Gross_Cell_Production,0.019046004105879234
Growing_Season_Length,0.00866355591131268
Irrigation,0.05549829722197859
ITN_Coverage_2015,0.0008539286430937241
Land_Surface_Temperature_2015,0.3803470258124637
Malaria_Prevalence_2015,0.029694013867597947
Mean_Temperature_2015,0.11526709368501742
Nightlights_Composite,0.5576684074008702
Proximity_to_Water,0.03588657479104527
V025,0.23704379128507658
HannahToilet,0.2478832366819662
HIV,1.9577450133216006e-07
HouseholdAmenities,0.09330216279411115
TransportationAccess,0.2468804812250165
HannahFloor,0.7508628226772852
V151,0.8503807582730709
V404,0.2632630634148201
V213,0.015159231470960061
V216,0.1614645884263226
HannahMaritalStatus,0.050604742732254064
MaternalIronRecode,0.2566959222849319
WaterTime_1.0,0.07123080829132115
WaterTime_2.0,0.3528057472888937
MaternalOccRecode_1.0,0.06240292891207295
MaternalOccRecode_2.0,0.14681992994622997
HusbandOccNew_1.0,0.6440947224244679
HusbandOccNew_2.0,0.7249790526521371
HannahReligion_1.0,0.012841830018662403
HannahReligion_2.0,0.4334431878584849
HannahReligion_3.0,0.20919826878672187
HannahHouseholdNum_1.0,0.019407606412012744
HannahHouseholdNum_2.0,0.44195123005553083
V158_1.0,0.25602667356752296
V158_2.0,0.9098209668403974
V157_1.0,0.0143246618297004
V157_2.0,0.5972945758989355
V159_1.0,0.5694981793493709
V159_2.0,0.6162678730901541
V190_1.0,0.22710546314110758
V190_2.0,0.5079228836015056
V190_3.0,0.563750541591862
V190_4.0,0.5175349771370601
HannahRecentBirths_1.0,0.0586642625134284
HannahRecentBirths_2.0,0.056384369182479424
HannahAllChildrenBorn_1.0,0.059346971299560146
HannahAllChildrenBorn_2.0,0.03363719865672864
HannahContraception_1.0,0.13062454534390874
HannahContraception_2.0,0.08043827056138149
HannahContraception_3.0,4.139047331239646e-09
HannahBMI_1.0,0.03247248230143474
HannahBMI_2.0,0.0001275687078440443
V106_1.0,0.1357385159375269
V106_2.0,0.49871164041468863
V106_3.0,0.09631558469235156
HannahWater_1.0,0.4993188866571414
HannahWater_2.0,0.3977042218257244
V013_1.0,0.051332849099002334
V013_2.0,0.035391277512583086
V013_3.0,0.0643189712373048
V013_4.0,0.06510119324882163
V013_5.0,0.1123416093486294
V013_6.0,0.20912995023275682
V024_1.0,3.3195357762583686e-09
V024_2.0,0.1300806198818037
V024_3.0,1.1902191344542796e-09
V024_4.0,1.2298162087938433e-05
V024_5.0,1.0136196054677065e-05
V024_6.0,1.763410816591394e-06
V024_7.0,5.153545919360386e-08
V024_8.0,0.0027162606276927613
V024_9.0,0.02106694428809602
V024_10.0,0.043397049815498384
