,Unnamed: 0,filename,Accuracy,F1,Feature Selection,Classifier,Boost or Bag
66,35,svmcfs_0_finalscore.csv,0.746,0.393,CFS,SVM,none
67,89,svmcfs_0bag_finalscore.csv,0.746,0.387,CFS,SVM,bag
68,81,svminfogain_20_finalscore.csv,0.748,0.379,IG-20,SVM,none
69,60,svminfogain_20bag_finalscore.csv,0.748,0.362,IG-20,SVM,bag
70,46,svminfogain_40_finalscore.csv,0.749,0.393,IG-40,SVM,none
71,75,svminfogain_40bag_finalscore.csv,0.749,0.384,IG-40,SVM,bag
72,32,svminfogain_60_finalscore.csv,0.75,0.365,IG-60,SVM,none
73,1,svminfogain_60bag_finalscore.csv,0.75,0.362,IG-60,SVM,bag
74,13,svminfogain_78_finalscore.csv,0.75,0.362,IG-78,SVM,none
75,24,svminfogain_78bag_finalscore.csv,0.75,0.363,IG-78,SVM,bag
76,8,svmmrmr_0_finalscore.csv,0.744,0.31,MRMR,SVM,none
77,49,svmmrmr_0bag_finalscore.csv,0.744,0.301,MRMR,SVM,bag
78,15,xgboostcfs_0_finalscore.csv,0.748,0.33,CFS,XGB,none
79,36,xgboostcfs_0bag_finalscore.csv,0.748,0.326,CFS,XGB,bag
80,70,xgboostinfogain_20_finalscore.csv,0.749,0.341,IG-20,XGB,none
81,23,xgboostinfogain_20bag_finalscore.csv,0.749,0.329,IG-20,XGB,bag
82,82,xgboostinfogain_40_finalscore.csv,0.75,0.341,IG-40,XGB,none
83,29,xgboostinfogain_40bag_finalscore.csv,0.75,0.333,IG-40,XGB,bag
84,16,xgboostinfogain_60_finalscore.csv,0.749,0.343,IG-60,XGB,none
85,57,xgboostinfogain_60bag_finalscore.csv,0.75,0.333,IG-60,XGB,bag
86,26,xgboostinfogain_78_finalscore.csv,0.749,0.343,IG-78,XGB,none
87,61,xgboostinfogain_78bag_finalscore.csv,0.75,0.331,IG-78,XGB,bag
88,88,xgboostmrmr_0_finalscore.csv,0.743,0.276,MRMR,XGB,none
89,14,xgboostmrmr_0bag_finalscore.csv,0.744,0.277,MRMR,XGB,bag
