,Feature,Feature Selection,Probability
201,16,CFS,0.0
202,17,CFS,0.0
203,18,CFS,0.0
204,19,CFS,0.2
205,20,CFS,0.0
206,21,CFS,0.0
207,22,CFS,0.0
208,23,CFS,0.0
209,24,CFS,0.0
210,25,CFS,0.0
211,26,CFS,0.0
212,27,CFS,0.0
213,28,CFS,0.0
214,29,CFS,1.0
215,30,CFS,0.0
216,31,CFS,0.0
217,32,CFS,0.0
218,33,CFS,1.0
219,34,CFS,1.0
220,35,CFS,0.0
221,36,CFS,0.0
222,37,CFS,0.0
223,38,CFS,0.0
224,39,CFS,0.38
225,40,CFS,1.0
226,41,CFS,0.0
227,42,CFS,1.0
228,43,CFS,1.0
229,44,CFS,0.0
230,45,CFS,0.0
231,46,CFS,0.0
232,47,CFS,0.0
233,48,CFS,0.0
234,49,CFS,0.0
235,50,CFS,0.02
236,51,CFS,0.0
237,52,CFS,0.0
238,53,CFS,0.0
239,54,CFS,0.0
240,55,CFS,1.0
241,56,CFS,0.0
242,57,CFS,0.0
243,58,CFS,0.0
244,59,CFS,0.0
245,60,CFS,0.0
246,61,CFS,0.0
247,62,CFS,1.0
248,63,CFS,0.0
249,64,CFS,1.0
250,65,CFS,0.0
251,66,CFS,0.0
252,67,CFS,0.0
253,68,CFS,0.0
254,69,CFS,0.0
255,70,CFS,0.06000000000000001
256,71,CFS,0.0
257,72,CFS,0.0
258,73,CFS,1.0
259,74,CFS,0.0
260,75,CFS,0.0
261,76,CFS,0.0
262,77,CFS,0.0
263,78,CFS,0.8600000000000001
264,79,CFS,0.0
265,80,CFS,1.0
266,81,CFS,0.0
267,82,CFS,1.0
268,83,CFS,0.0
269,84,CFS,1.0
270,85,CFS,0.08
271,86,CFS,0.0
272,87,CFS,0.0
273,88,CFS,0.33999999999999997
274,89,CFS,0.0
275,90,CFS,0.0
276,91,CFS,0.0
277,92,CFS,0.0
278,93,CFS,0.0
279,1,IG-20,0.08
280,2,IG-20,0.96
281,3,IG-20,0.45999999999999996
282,4,IG-20,0.15999999999999998
283,5,IG-20,0.29999999999999993
284,6,IG-20,0.16
285,7,IG-20,0.26
286,8,IG-20,0.64
287,9,IG-20,0.06000000000000001
288,10,IG-20,1.0
289,11,IG-20,0.78
290,12,IG-20,0.2
291,13,IG-20,0.54
292,14,IG-20,0.16
293,15,IG-20,0.32
294,16,IG-20,0.12
295,17,IG-20,0.04
296,18,IG-20,0.04
297,19,IG-20,0.08
298,20,IG-20,0.12000000000000002
