,IG-803,IG-802,MRMR4,IG-800,IG-801,MRMR3,IG-804,MRMR2,MRMR0,MRMR1,CFS1,CFS0,IG-934,CFS2,CFS3,IG-933,IG-932,IG-930,CFS4,IG-931,IG-201,IG-604,IG-200,IG-202,IG-404,IG-203,IG-401,IG-603,IG-602,IG-400,IG-204,IG-402,IG-600,IG-601,IG-403
21,0.8,0.6,0.0,0.7,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.7,0.0,0.0,0.6,0.1,0.3,0.7,0.0,0.3,0.2,0.0,0.5,0.6,0.4
22,0.8,0.7,0.0,1.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.2,0.1,0.3,0.0,0.2,0.5,0.6,0.3,0.0,0.4,0.8,0.6,0.3
23,0.8,0.9,0.0,0.7,0.5,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7,0.0,0.1,0.2,0.0,0.4,0.3,0.5,0.2,0.1,0.2,0.4,0.4,0.1
24,0.6,0.7,0.0,0.6,0.4,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.3,0.0,0.3,0.4,0.3,0.2
25,0.6,0.6,0.0,0.8,0.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.6,0.2,0.0,0.3,0.1,0.1,0.4,0.3,0.5,0.0,0.2,0.6,0.5,0.2
26,0.8,0.6,0.0,0.3,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.2,0.0,0.1,0.0,0.1,0.3,0.6,0.5,0.1,0.0,0.2,0.2,0.5,0.2
27,0.7,0.8,0.0,0.8,0.3,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.6,0.2,0.0,0.2,0.1,0.1,0.4,0.7,0.4,0.0,0.4,0.6,0.2,0.3
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,0.4,0.8,0.9,1.0,1.0,1.0,0.9,0.7,0.9,1.0,1.0,1.0
29,0.4,0.5,0.0,0.9,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6,0.0,0.0,0.3,0.1,0.0,0.3,0.4,0.2,0.2,0.1,0.7,0.2,0.2
30,0.7,0.6,0.0,0.8,0.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6,0.2,0.0,0.3,0.1,0.1,0.6,0.4,0.3,0.0,0.0,0.7,0.6,0.3
31,0.8,0.8,0.0,0.7,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.0,0.1,0.2,0.0,0.3,0.7,0.7,0.2,0.1,0.4,0.7,0.5,0.5
32,1.0,0.9,0.0,1.0,0.9,0.0,1.0,0.0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3,0.5,0.7,0.2,0.7,1.0,0.8,1.0,0.4,0.8,1.0,0.9,0.6
33,1.0,1.0,0.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.4,0.3,0.9,0.6,0.8,1.0,1.0,0.9,0.8,0.8,1.0,0.8,0.8
34,0.5,0.5,0.0,0.5,0.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.0,0.1,0.0,0.0,0.1,0.4,0.4,0.1,0.0,0.1,0.3,0.4,0.2
35,0.9,0.8,0.0,0.7,0.9,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3,0.5,0.1,0.2,0.2,0.2,0.9,0.7,0.7,0.2,0.0,0.4,0.6,0.9,0.5
36,0.6,0.4,0.1,0.6,0.9,0.2,0.5,0.2,0.1,0.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.1,0.0,0.1,0.4,0.3,0.1,0.0,0.2,0.3,0.7,0.1
37,0.8,0.6,0.0,0.9,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.3,0.0,0.2,0.1,0.1,0.6,0.4,0.6,0.1,0.3,0.8,0.7,0.2
