filename,Accuracy,F1
knncfs_0bag_finalscore.csv,0.673483002,0.737885778
knncfs_0_finalscore.csv,0.664554201,0.720241548
elasticnetinfogain_40_finalscore.csv,0.6844644,0.755455041
rdforestcfs_0_finalscore.csv,0.687389352,0.754441171
svmmrmr_0_finalscore.csv,0.669865298,0.738211236
elasticnetinfogain_40boost_finalscore.csv,0.690776139,0.75757334
naive_bayescfs_0boost_finalscore.csv,0.683822963,0.75624235
rdforestinfogain_20boost_finalscore.csv,0.686542656,0.755448832
naive_bayesmrmr_0_finalscore.csv,0.66324567,0.732311293
xgboostmrmr_0bag_finalscore.csv,0.671686979,0.757763266
xgboostcfs_0_finalscore.csv,0.687671584,0.752858059
rdforestinfogain_20_finalscore.csv,0.686542656,0.755448832
naive_bayesinfogain_20_finalscore.csv,0.660218089,0.706322015
naive_bayescfs_0_finalscore.csv,0.679384221,0.72708981
svminfogain_80bag_finalscore.csv,0.689005773,0.755718938
elasticnetcfs_0_finalscore.csv,0.681975625,0.75254526
xgboostinfogain_20bag_finalscore.csv,0.688338679,0.760421842
naive_bayesmrmr_0bag_finalscore.csv,0.663066068,0.732283202
xgboostinfogain_40bag_finalscore.csv,0.692059012,0.760380543
rdforestcfs_0boost_finalscore.csv,0.687389352,0.754441171
naive_bayescfs_0bag_finalscore.csv,0.679512508,0.727287969
rdforestcfs_0bag_finalscore.csv,0.68551636,0.75515663
svminfogain_20boost_finalscore.csv,0.68274535,0.752132171
elasticnetinfogain_20_finalscore.csv,0.681231559,0.752776675
svmcfs_0_finalscore.csv,0.68425914,0.758995327
xgboostcfs_0bag_finalscore.csv,0.686978833,0.760685664
naive_bayesinfogain_40boost_finalscore.csv,0.683463759,0.752653331
naive_bayesinfogain_40_finalscore.csv,0.658909557,0.700825675
knnmrmr_0bag_finalscore.csv,0.666452854,0.73306094
rdforestinfogain_40_finalscore.csv,0.691443233,0.758123076
svmmrmr_0boost_finalscore.csv,0.666529827,0.738258057
svminfogain_40_finalscore.csv,0.6866966,0.754813455
elasticnetcfs_0bag_finalscore.csv,0.684951892,0.753046498
svmmrmr_0bag_finalscore.csv,0.669429121,0.747216857
rdforestmrmr_0boost_finalscore.csv,0.669839641,0.736921427
elasticnetmrmr_0bag_finalscore.csv,0.666529827,0.75135784
rdforestmrmr_0_finalscore.csv,0.669839641,0.736921427
svmcfs_0boost_finalscore.csv,0.683438101,0.752337029
naive_bayesinfogain_20bag_finalscore.csv,0.660192431,0.706331599
naive_bayesmrmr_0boost_finalscore.csv,0.665144323,0.754483227
naive_bayesinfogain_20boost_finalscore.csv,0.679846055,0.751069682
knninfogain_40bag_finalscore.csv,0.674996793,0.742319053
svminfogain_20bag_finalscore.csv,0.682283515,0.755471573
rdforestmrmr_0bag_finalscore.csv,0.670173188,0.737364936
elasticnetinfogain_20bag_finalscore.csv,0.683412444,0.752448138
knninfogain_40_finalscore.csv,0.670327133,0.730548187
rdforestinfogain_40bag_finalscore.csv,0.69164849,0.757976123
elasticnetmrmr_0_finalscore.csv,0.66578576,0.748251406
knnmrmr_0_finalscore.csv,0.650853111,0.710008176
xgboostinfogain_20_finalscore.csv,0.686747915,0.752859224
svminfogain_40boost_finalscore.csv,0.687286722,0.755172833
svminfogain_40bag_finalscore.csv,0.686080821,0.754263382
elasticnetinfogain_20boost_finalscore.csv,0.687338037,0.755087182
rdforestinfogain_40boost_finalscore.csv,0.691443233,0.758123076
elasticnetinfogain_40bag_finalscore.csv,0.687594612,0.755175161
rdforestinfogain_20bag_finalscore.csv,0.685798589,0.756289024
svminfogain_20_finalscore.csv,0.682565747,0.754775867
xgboostinfogain_40_finalscore.csv,0.689672867,0.754736055
naive_bayesinfogain_40bag_finalscore.csv,0.659217447,0.701238224
elasticnetcfs_0boost_finalscore.csv,0.686055164,0.753588916
knninfogain_20bag_finalscore.csv,0.673559974,0.740532629
knninfogain_20_finalscore.csv,0.665939705,0.725439567
elasticnetmrmr_0boost_finalscore.csv,0.670044901,0.739045053
xgboostmrmr_0_finalscore.csv,0.671045542,0.73635747
svmcfs_0bag_finalscore.csv,0.684926235,0.75892672
