,Max_depth,N_estimators,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,"[50, 100, 150]",50,"[1031, 25, 354, 39]",0.7425633239008904,0.6448981176314306,0.11270043268007127,0.19185608676474658
1,1,"[50, 100, 150]",100,"[1031, 25, 354, 39]",0.7425909310511423,0.646204759138553,0.11214049376431663,0.19110632014171763
2,1,"[50, 100, 150]",150,"[1031, 25, 354, 39]",0.7424943060252606,0.6460659738450873,0.11142784423517434,0.19006162660278686
3,1,"[50, 100, 150]",50,"[1028, 28, 341, 52]",0.7456967354544828,0.6450061431283555,0.13835581572919317,0.22783291732688232
4,1,"[50, 100, 150]",100,"[1028, 28, 341, 52]",0.7456829318793566,0.6456805625217713,0.13774497327564267,0.2270498322945138
5,1,"[50, 100, 150]",150,"[1027, 29, 341, 52]",0.7456967354544826,0.6457561529459056,0.13779587681343852,0.2271233934592119
6,1,"[50, 100, 150]",50,"[1024, 32, 330, 63]",0.7481675754020292,0.6341582023348904,0.16854161364214812,0.2663007560259844
7,1,"[50, 100, 150]",100,"[1024, 32, 330, 63]",0.7483608254537926,0.6362989313001212,0.16813438533978114,0.26598123179664335
8,1,"[50, 100, 150]",150,"[1024, 32, 330, 63]",0.7482642004279109,0.6355032580107653,0.16808348180198524,0.2658473262341265
9,2,"[50, 100, 150]",50,"[1021, 35, 323, 70]",0.7478224860238802,0.6226987542213459,0.17775515398320182,0.2765526848616371
10,2,"[50, 100, 150]",100,"[1021, 35, 324, 69]",0.7477534681482503,0.622358167789216,0.17750063629422244,0.276216293001115
11,2,"[50, 100, 150]",150,"[1021, 35, 326, 67]",0.747587825246739,0.6214232945592163,0.17704250445405958,0.27556696286836585
12,2,"[50, 100, 150]",50,"[1014, 42, 314, 79]",0.7496169507902547,0.6149361623934866,0.20509035377958768,0.30758733501058716
13,2,"[50, 100, 150]",100,"[1014, 42, 314, 79]",0.749534129339499,0.614327077027305,0.20514125731738356,0.30757131321212927
14,2,"[50, 100, 150]",150,"[1014, 42, 315, 78]",0.7494651114638693,0.6142806060772298,0.20453041486383303,0.30687925896518303
15,2,"[50, 100, 150]",50,"[1011, 45, 312, 81]",0.7497273793912622,0.6100107890659366,0.21369305166709082,0.3165062879463849
16,2,"[50, 100, 150]",100,"[1010, 46, 311, 82]",0.7497411829663884,0.6099039576898824,0.21399847289386614,0.3168267779812862
17,2,"[50, 100, 150]",150,"[1011, 45, 312, 81]",0.7496583615156325,0.6096558337002586,0.2135403410537032,0.3162925540014764
18,3,"[50, 100, 150]",50,"[1014, 42, 310, 83]",0.7493546828628614,0.608185134163453,0.2127767879867651,0.3152561728816746
19,3,"[50, 100, 150]",100,"[1015, 41, 312, 81]",0.7492994685623577,0.6079209300798321,0.21262407737337746,0.3150550640009388
20,3,"[50, 100, 150]",150,"[1015, 41, 314, 79]",0.7493546828628614,0.6081754754386806,0.21277678798676508,0.31525702574395864
21,3,"[50, 100, 150]",50,"[1013, 43, 310, 83]",0.7498792187176478,0.6074870876312255,0.21939424790022904,0.3223616350912555
22,3,"[50, 100, 150]",100,"[1013, 43, 310, 83]",0.7498516115673959,0.6073081484624591,0.21939424790022904,0.3223384989763732
23,3,"[50, 100, 150]",150,"[1012, 44, 312, 81]",0.7496721650907585,0.6065504001357106,0.21878340544667854,0.3215729872851162
24,3,"[50, 100, 150]",50,"[1013, 43, 307, 86]",0.749520325764373,0.6024048474958601,0.22443369814202088,0.3270269418635606
25,3,"[50, 100, 150]",100,"[1013, 43, 308, 85]",0.7495893436400027,0.602929584841559,0.22423008399083733,0.3268889774242096
26,3,"[50, 100, 150]",150,"[1013, 43, 308, 85]",0.7495893436400027,0.6030710965000633,0.22397556630185797,0.3266395097388366
27,4,"[50, 100, 150]",50,"[1013, 43, 313, 80]",0.7494651114638692,0.6058153752743938,0.21786714176635275,0.3204765455090047
28,4,"[50, 100, 150]",100,"[1014, 42, 313, 80]",0.7496997722410104,0.607273008136992,0.21786714176635277,0.32068119211340573
29,4,"[50, 100, 150]",150,"[1014, 42, 313, 80]",0.7496031472151288,0.6067326469827464,0.217765334690761,0.3204954016041821
30,4,"[50, 100, 150]",50,"[1012, 44, 312, 81]",0.7492304506867279,0.6028948780372676,0.22041231865614663,0.32280830962294005
31,4,"[50, 100, 150]",100,"[1013, 43, 310, 83]",0.7494513078887433,0.6040680336861624,0.22071773988292187,0.3233041970289462
32,4,"[50, 100, 150]",150,"[1013, 43, 312, 81]",0.7495617364897508,0.6044191601654129,0.2212776787986765,0.3239545906471887
33,4,"[50, 100, 150]",50,"[1010, 46, 303, 90]",0.7495617364897509,0.6005847505173629,0.2282514634767116,0.33078598677188237
34,4,"[50, 100, 150]",100,"[1012, 44, 303, 90]",0.7496997722410105,0.6013951293170737,0.2282514634767116,0.3309098739695886
35,4,"[50, 100, 150]",150,"[1012, 44, 305, 88]",0.7497549865415143,0.6014736879601188,0.22870959531687457,0.33140289616455065
