,Max_depth,N_estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,3,50,"[1014, 42, 316, 77]",0.7482503968527849,0.5982868721360117,0.2180198523797404,0.31957136249650997
1,3,75,"[1012, 44, 310, 83]",0.7484022361791705,0.5976745840524585,0.22092135403410537,0.3225859266081677
2,3,100,"[1012, 44, 309, 84]",0.7484160397542964,0.5966818390237739,0.22295749554594044,0.32460997630470534
3,3,125,"[1011, 45, 305, 88]",0.7486921112568156,0.59723717239904,0.2249936370577755,0.3268463205735771
4,3,150,"[1010, 46, 307, 86]",0.7488301470080752,0.5971856408865028,0.22662255026724357,0.3285557812959302
5,4,50,"[1010, 46, 306, 87]",0.7491476292359721,0.603716856009383,0.21812165945533213,0.3204493720746899
6,4,75,"[1011, 45, 304, 89]",0.7493960935882394,0.6034006544924327,0.2213285823364724,0.3238579215526221
7,4,100,"[1011, 45, 304, 89]",0.7492028435364759,0.6011548014587312,0.22331382031051156,0.3256432521488334
8,4,125,"[1010, 46, 302, 91]",0.7487749327075712,0.5976120156567004,0.225197251208959,0.3271158079578002
9,4,150,"[1008, 48, 303, 90]",0.74854027193043,0.595761006470216,0.2261644184270807,0.32785276048197903
10,5,50,"[1009, 47, 303, 90]",0.7490924149354683,0.6020168465265339,0.22056502926953425,0.3228365119956308
11,5,75,"[1007, 49, 302, 91]",0.7493408792877355,0.6020561566839795,0.22326291677271567,0.32571424630399093
12,5,100,"[1007, 49, 302, 91]",0.7490924149354683,0.5994995785576451,0.22524815474675491,0.32744919469880607
13,5,125,"[1005, 51, 301, 92]",0.7490648077852163,0.5979320078646089,0.22794604224993636,0.3300501155816892
14,5,150,"[1004, 52, 299, 94]",0.7487335219821935,0.5950757749447175,0.22988037668617972,0.33162274173212863
15,6,50,"[1007, 49, 302, 91]",0.7491476292359721,0.6010319302611224,0.22300839908373632,0.3253069858625983
16,6,75,"[1007, 49, 303, 90]",0.7493822900131135,0.6004901012307033,0.22662255026724357,0.3290477048944031
17,6,100,"[1005, 51, 299, 94]",0.7493132721374837,0.5986801817573058,0.22932043777042505,0.3315983900937646
18,6,125,"[1006, 50, 299, 94]",0.74854027193043,0.5928802204023738,0.23217103588699411,0.3336564916596879
19,6,150,"[1005, 51, 295, 98]",0.7481261646766513,0.5892891718934978,0.23497073046576739,0.33595745067112537
20,7,50,"[1011, 45, 301, 92]",0.7482918075781628,0.5940321264593689,0.2267752608806312,0.3282379626685398
21,7,75,"[1012, 44, 305, 88]",0.7481261646766513,0.5912499905864053,0.23064392975311784,0.3318324591032512
22,7,100,"[1007, 49, 301, 92]",0.7472289322934639,0.5850742686148515,0.23349452786968694,0.33376813421224893
23,7,125,"[1002, 54, 299, 94]",0.7469114500655669,0.581695988257741,0.23751590735556122,0.33729705932513643
24,7,150,"[1000, 56, 296, 97]",0.7466905928635517,0.5790450115798926,0.24138457622804782,0.3407214334278214
