,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[1012, 44, 311, 82]","[991, 65, 292, 101]","[1002, 54, 314, 79]","[993, 63, 287, 106]","[987, 69, 295, 98]","[1004, 52, 309, 84]",[9964  596 3033  896],[9973  587 3036  893],[9978  582 3043  886],[9965  595 3033  896],[9963  597 3032  897]
1,rbf,0.1,1.0,,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
2,poly,0.1,1.0,2.0,"[613, 443, 230, 163]","[429, 627, 194, 199]","[543, 513, 168, 225]","[441, 615, 224, 169]","[545, 511, 218, 175]","[596, 460, 211, 182]",[5121 5439 2049 1880],[5338 5222 1988 1941],[4958 5602 1974 1955],[5337 5223 1904 2025],[4865 5695 1951 1978]
3,poly,0.1,1.0,3.0,"[694, 362, 200, 193]","[636, 420, 200, 193]","[695, 361, 240, 153]","[597, 459, 218, 175]","[674, 382, 233, 160]","[660, 396, 241, 152]",[6616 3944 2232 1697],[6563 3997 2114 1815],[6515 4045 2149 1780],[6417 4143 2153 1776],[6466 4094 2184 1745]
4,rbf,0.1,10.0,,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
5,poly,0.1,10.0,2.0,"[485, 571, 183, 210]","[531, 525, 214, 179]","[461, 595, 161, 232]","[478, 578, 202, 191]","[513, 543, 235, 158]","[486, 570, 199, 194]",[5121 5439 1981 1948],[5306 5254 1961 1968],[4920 5640 1815 2114],[5329 5231 1916 2013],[5482 5078 1995 1934]
6,poly,0.1,10.0,3.0,"[616, 440, 213, 180]","[636, 420, 200, 193]","[567, 489, 215, 178]","[597, 459, 218, 175]","[663, 393, 209, 184]","[654, 402, 231, 162]",[6417 4143 2145 1784],[6428 4132 2162 1767],[6208 4352 2091 1838],[6492 4068 2151 1778],[6530 4030 2210 1719]
7,linear,1.0,,,"[1010, 46, 312, 81]","[992, 64, 292, 101]","[1002, 54, 313, 80]","[992, 64, 287, 106]","[987, 69, 296, 97]","[1005, 51, 308, 85]",[9962  598 3033  896],[9972  588 3035  894],[9976  584 3036  893],[9961  599 3036  893],[9962  598 3030  899]
8,rbf,1.0,1.0,,"[1055, 1, 392, 1]","[1054, 2, 390, 3]","[1054, 2, 392, 1]","[1053, 3, 391, 2]","[1056, 0, 392, 1]","[1056, 0, 392, 1]",[10545    15  3917    12],[10543    17  3916    13],[10543    17  3915    14],[10542    18  3915    14],[10544    16  3918    11]
9,poly,1.0,1.0,2.0,"[485, 571, 183, 210]","[531, 525, 214, 179]","[461, 595, 161, 232]","[478, 578, 202, 191]","[513, 543, 235, 158]","[518, 538, 213, 180]",[5153 5407 1995 1934],[5470 5090 1905 2024],[5044 5516 1808 2121],[5565 4995 1997 1932],[5321 5239 1902 2027]
10,poly,1.0,1.0,3.0,"[603, 453, 206, 187]","[636, 420, 200, 193]","[567, 489, 215, 178]","[597, 459, 218, 175]","[663, 393, 209, 184]","[660, 396, 241, 152]",[6151 4409 2088 1841],[6570 3990 2124 1805],[6332 4228 2117 1812],[6314 4246 2136 1793],[6506 4054 2205 1724]
11,rbf,1.0,10.0,,"[1055, 1, 393, 0]","[1054, 2, 390, 3]","[1054, 2, 392, 1]","[1054, 2, 391, 2]","[1056, 0, 392, 1]","[1056, 0, 392, 1]",[10546    14  3919    10],[10545    15  3918    11],[10544    16  3917    12],[10542    18  3919    10],[10545    15  3920     9]
12,poly,1.0,10.0,2.0,"[485, 571, 183, 210]","[531, 525, 214, 179]","[461, 595, 161, 232]","[478, 578, 202, 191]","[513, 543, 235, 158]","[518, 538, 213, 180]",[5153 5407 1995 1934],[5143 5417 1967 1962],[4979 5581 1856 2073],[5565 4995 1997 1932],[5647 4913 1935 1994]
13,poly,1.0,10.0,3.0,"[637, 419, 209, 184]","[636, 420, 200, 193]","[567, 489, 215, 178]","[597, 459, 218, 175]","[675, 381, 203, 190]","[660, 396, 241, 152]",[6511 4049 2191 1738],[6515 4045 2170 1759],[6370 4190 2128 1801],[6493 4067 2141 1788],[6461 4099 2208 1721]
14,linear,10.0,,,"[1010, 46, 311, 82]","[992, 64, 291, 102]","[1002, 54, 314, 79]","[992, 64, 288, 105]","[992, 64, 297, 96]","[1005, 51, 308, 85]",[9968  592 3032  897],[9966  594 3031  898],[9977  583 3038  891],[9958  602 3029  900],[9958  602 3028  901]
15,rbf,10.0,1.0,,"[1054, 2, 389, 4]","[1046, 10, 388, 5]","[1051, 5, 391, 2]","[1050, 6, 389, 4]","[1053, 3, 389, 4]","[1052, 4, 390, 3]",[10514    46  3893    36],[10514    46  3893    36],[10515    45  3895    34],[10511    49  3888    41],[10504    56  3898    31]
16,poly,10.0,1.0,2.0,"[485, 571, 183, 210]","[531, 525, 214, 179]","[461, 595, 161, 232]","[478, 578, 202, 191]","[513, 543, 235, 158]","[518, 538, 213, 180]",[5153 5407 1995 1934],[5238 5322 1918 2011],[4986 5574 1857 2072],[5565 4995 1997 1932],[5416 5144 1920 2009]
17,poly,10.0,1.0,3.0,"[694, 362, 200, 193]","[636, 420, 200, 193]","[610, 446, 191, 202]","[597, 459, 218, 175]","[675, 381, 203, 190]","[709, 347, 233, 160]",[6401 4159 2090 1839],[6409 4151 2122 1807],[6311 4249 2152 1777],[6458 4102 2194 1735],[6430 4130 2184 1745]
18,rbf,10.0,10.0,,"[1055, 1, 393, 0]","[1054, 2, 390, 3]","[1054, 2, 392, 1]","[1054, 2, 391, 2]","[1056, 0, 392, 1]","[1056, 0, 392, 1]",[10546    14  3919    10],[10545    15  3918    11],[10544    16  3917    12],[10542    18  3919    10],[10545    15  3920     9]
19,poly,10.0,10.0,2.0,"[485, 571, 183, 210]","[531, 525, 214, 179]","[461, 595, 161, 232]","[478, 578, 202, 191]","[513, 543, 235, 158]","[518, 538, 213, 180]",[5153 5407 1995 1934],[5406 5154 2004 1925],[4998 5562 1809 2120],[5565 4995 1997 1932],[5628 4932 1896 2033]
20,poly,10.0,10.0,3.0,"[637, 419, 209, 184]","[636, 420, 200, 193]","[567, 489, 215, 178]","[597, 459, 218, 175]","[663, 393, 209, 184]","[654, 402, 231, 162]",[6536 4024 2196 1733],[6571 3989 2185 1744],[6218 4342 2103 1826],[6493 4067 2143 1786],[6510 4050 2173 1756]
21,linear,100.0,,,"[1022, 34, 364, 29]","[1002, 54, 300, 93]","[976, 80, 300, 93]","[974, 82, 272, 121]","[920, 136, 253, 140]","[998, 58, 355, 38]",[9883  677 3110  819],[9977  583 3117  812],[9961  599 3153  776],[9921  639 3081  848],[9863  697 3085  844]
22,rbf,100.0,1.0,,"[1054, 2, 389, 4]","[1046, 10, 388, 5]","[1051, 5, 391, 2]","[1050, 6, 389, 4]","[1053, 3, 389, 4]","[1052, 4, 390, 3]",[10514    46  3893    36],[10514    46  3893    36],[10515    45  3895    34],[10511    49  3888    41],[10504    56  3898    31]
23,poly,100.0,1.0,2.0,"[485, 571, 183, 210]","[531, 525, 214, 179]","[461, 595, 161, 232]","[478, 578, 202, 191]","[513, 543, 235, 158]","[486, 570, 199, 194]",[5121 5439 1981 1948],[5303 5257 2036 1893],[5062 5498 1842 2087],[5368 5192 1938 1991],[5683 4877 2023 1906]
24,poly,100.0,1.0,3.0,"[718, 338, 217, 176]","[636, 420, 200, 193]","[567, 489, 215, 178]","[597, 459, 218, 175]","[663, 393, 209, 184]","[654, 402, 231, 162]",[6471 4089 2136 1793],[6615 3945 2116 1813],[6425 4135 2181 1748],[6347 4213 2119 1810],[6539 4021 2253 1676]
25,rbf,100.0,10.0,,"[1055, 1, 393, 0]","[1054, 2, 390, 3]","[1054, 2, 392, 1]","[1054, 2, 391, 2]","[1056, 0, 392, 1]","[1056, 0, 392, 1]",[10546    14  3919    10],[10545    15  3918    11],[10544    16  3917    12],[10542    18  3919    10],[10545    15  3920     9]
26,poly,100.0,10.0,2.0,"[485, 571, 183, 210]","[531, 525, 214, 179]","[461, 595, 161, 232]","[478, 578, 202, 191]","[513, 543, 235, 158]","[486, 570, 199, 194]",[5121 5439 1981 1948],[5303 5257 2036 1893],[5063 5497 1829 2100],[5368 5192 1938 1991],[5418 5142 1968 1961]
27,poly,100.0,10.0,3.0,"[637, 419, 209, 184]","[636, 420, 200, 193]","[567, 489, 215, 178]","[597, 459, 218, 175]","[663, 393, 209, 184]","[654, 402, 231, 162]",[6354 4206 2110 1819],[6535 4025 2164 1765],[6218 4342 2103 1826],[6422 4138 2108 1821],[6303 4257 2198 1731]
28,linear,1000.0,,,"[566, 490, 154, 239]","[910, 146, 281, 112]","[859, 197, 250, 143]","[868, 188, 237, 156]","[1004, 52, 366, 27]","[594, 462, 151, 242]",[7947 2613 2422 1507],[7609 2951 2420 1509],[7805 2755 2602 1327],[7551 3009 2431 1498],[7204 3356 2277 1652]
29,rbf,1000.0,1.0,,"[1054, 2, 389, 4]","[1046, 10, 388, 5]","[1051, 5, 391, 2]","[1050, 6, 389, 4]","[1053, 3, 389, 4]","[1052, 4, 390, 3]",[10514    46  3893    36],[10514    46  3893    36],[10515    45  3895    34],[10511    49  3888    41],[10504    56  3898    31]
30,poly,1000.0,1.0,2.0,"[485, 571, 183, 210]","[531, 525, 214, 179]","[461, 595, 161, 232]","[478, 578, 202, 191]","[513, 543, 235, 158]","[455, 601, 168, 225]",[5090 5470 1950 1979],[5294 5266 1879 2050],[5039 5521 1820 2109],[5455 5105 2000 1929],[5507 5053 1891 2038]
