,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[993, 63, 295, 98]",0.7422182345227414,0.5558808647698623,0.2459149910918809,0.34096408504994413
1,linear,1000.0,,,50,0.5,"[996, 60, 295, 98]",0.7420801987714818,0.5549230399970655,0.24713667599898193,0.34196130434692157
