,Alpha,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,50,"[1017, 39, 322, 71]","[1002, 54, 299, 94]","[985, 71, 299, 94]","[1007, 49, 300, 93]","[997, 59, 303, 90]","[999, 57, 303, 90]",[10043   517  3115   814],[10036   524  3136   793],[10004   556  3102   827],[10031   529  3123   806],[10027   533  3133   796]
1,0.0001,100,"[1015, 41, 321, 72]","[999, 57, 297, 96]","[993, 63, 304, 89]","[1007, 49, 300, 93]","[998, 58, 305, 88]","[1000, 56, 308, 85]",[10048   512  3117   812],[10046   514  3136   793],[10026   534  3128   801],[10060   500  3150   779],[10033   527  3138   791]
2,0.0001,150,"[1015, 41, 319, 74]","[1000, 56, 297, 96]","[994, 62, 303, 90]","[1007, 49, 300, 93]","[1000, 56, 307, 86]","[1002, 54, 310, 83]",[10042   518  3112   817],[10038   522  3129   800],[10010   550  3122   807],[10058   502  3139   790],[10038   522  3154   775]
3,0.001,50,"[1018, 38, 327, 66]","[1010, 46, 304, 89]","[1007, 49, 328, 65]","[1005, 51, 298, 95]","[1001, 55, 311, 82]","[1006, 50, 315, 78]",[10076   484  3168   761],[10095   465  3187   742],[10080   480  3183   746],[10077   483  3174   755],[10068   492  3178   751]
4,0.001,100,"[1018, 38, 326, 67]","[1010, 46, 301, 92]","[1006, 50, 329, 64]","[1006, 50, 298, 95]","[1003, 53, 313, 80]","[1007, 49, 317, 76]",[10079   481  3165   764],[10091   469  3177   752],[10078   482  3181   748],[10080   480  3168   761],[10062   498  3159   770]
5,0.001,150,"[1017, 39, 326, 67]","[1009, 47, 301, 92]","[1003, 53, 327, 66]","[1008, 48, 301, 92]","[1005, 51, 313, 80]","[1007, 49, 316, 77]",[10077   483  3163   766],[10093   467  3179   750],[10077   483  3172   757],[10088   472  3173   756],[10070   490  3170   759]
6,0.01,50,"[1044, 12, 369, 24]","[1050, 6, 377, 16]","[1046, 10, 372, 21]","[1044, 12, 368, 25]","[1052, 4, 370, 23]","[1048, 8, 375, 18]",[10465    95  3742   187],[10489    71  3760   169],[10478    82  3741   188],[10485    75  3770   159],[10480    80  3745   184]
7,0.01,100,"[1045, 11, 370, 23]","[1050, 6, 378, 15]","[1049, 7, 378, 15]","[1044, 12, 373, 20]","[1050, 6, 370, 23]","[1051, 5, 375, 18]",[10475    85  3755   174],[10491    69  3771   158],[10482    78  3755   174],[10488    72  3768   161],[10488    72  3760   169]
8,0.01,150,"[1044, 12, 369, 24]","[1050, 6, 378, 15]","[1049, 7, 376, 17]","[1044, 12, 373, 20]","[1052, 4, 371, 22]","[1051, 5, 375, 18]",[10475    85  3758   171],[10489    71  3764   165],[10483    77  3751   178],[10485    75  3769   160],[10487    73  3767   162]
