,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[1012, 44, 313, 80]","[1006, 50, 298, 95]","[1000, 56, 313, 80]","[994, 62, 291, 102]","[985, 71, 300, 93]","[1005, 51, 312, 81]",[9978  582 3073  856],[10009   551  3089   840],[9997  563 3082  847],[9994  566 3076  853],[9993  567 3079  850]
1,3,75,"[1009, 47, 314, 79]","[1000, 56, 294, 99]","[1001, 55, 312, 81]","[993, 63, 289, 104]","[987, 69, 300, 93]","[1002, 54, 312, 81]",[9967  593 3059  870],[10001   559  3077   852],[9983  577 3067  862],[9982  578 3069  860],[9985  575 3063  866]
2,3,100,"[1009, 47, 312, 81]","[997, 59, 296, 97]","[998, 58, 310, 83]","[992, 64, 285, 108]","[987, 69, 296, 97]","[1003, 53, 310, 83]",[9955  605 3044  885],[9980  580 3057  872],[9972  588 3053  876],[9979  581 3055  874],[9974  586 3047  882]
3,3,125,"[1012, 44, 307, 86]","[996, 60, 296, 97]","[1000, 56, 309, 84]","[993, 63, 284, 109]","[987, 69, 296, 97]","[1002, 54, 309, 84]",[9959  601 3034  895],[9959  601 3047  882],[9973  587 3045  884],[9969  591 3040  889],[9959  601 3036  893]
4,3,150,"[1012, 44, 304, 89]","[998, 58, 296, 97]","[998, 58, 306, 87]","[992, 64, 281, 112]","[986, 70, 294, 99]","[1003, 53, 308, 85]",[9955  605 3021  908],[9948  612 3033  896],[9960  600 3044  885],[9956  604 3030  899],[9949  611 3026  903]
5,4,50,"[1011, 45, 311, 82]","[1005, 51, 297, 96]","[997, 59, 314, 79]","[998, 58, 289, 104]","[991, 65, 303, 90]","[1010, 46, 312, 81]",[9993  567 3069  860],[10010   550  3081   848],[9996  564 3063  866],[10000   560  3079   850],[10000   560  3068   861]
6,4,75,"[1012, 44, 308, 85]","[1007, 49, 297, 96]","[999, 57, 312, 81]","[995, 61, 288, 105]","[991, 65, 302, 91]","[1008, 48, 311, 82]",[9980  580 3055  874],[9992  568 3066  863],[9997  563 3059  870],[9981  579 3057  872],[9979  581 3056  873]
7,4,100,"[1013, 43, 305, 88]","[1007, 49, 297, 96]","[999, 57, 309, 84]","[991, 65, 285, 108]","[993, 63, 303, 90]","[1005, 51, 309, 84]",[9980  580 3049  880],[9973  587 3043  886],[9974  586 3040  889],[9962  598 3045  884],[9960  600 3048  881]
8,4,125,"[1012, 44, 304, 89]","[1004, 52, 295, 98]","[997, 59, 306, 87]","[992, 64, 281, 112]","[992, 64, 304, 89]","[1004, 52, 308, 85]",[9972  588 3033  896],[9961  599 3022  907],[9971  589 3036  893],[9959  601 3038  891],[9953  607 3042  887]
9,4,150,"[1010, 46, 301, 92]","[1003, 53, 298, 95]","[998, 58, 306, 87]","[988, 68, 278, 115]","[988, 68, 301, 92]","[1001, 55, 308, 85]",[9954  606 3021  908],[9947  613 3005  924],[9961  599 3033  896],[9945  615 3025  904],[9940  620 3036  893]
