,Alpha,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,50,"[1014, 42, 322, 71]","[1007, 49, 298, 95]","[1006, 50, 340, 53]","[992, 64, 285, 108]","[1008, 48, 323, 70]","[1010, 46, 307, 86]",[10042   518  3160   769],[10011   549  3134   795],[9985  575 3075  854],[9980  580 3103  826],[9965  595 3093  836]
1,0.0001,100,"[1015, 41, 322, 71]","[993, 63, 291, 102]","[1006, 50, 340, 53]","[993, 63, 286, 107]","[1009, 47, 323, 70]","[1010, 46, 307, 86]",[10016   544  3138   791],[9997  563 3128  801],[9987  573 3099  830],[9966  594 3079  850],[9979  581 3102  827]
2,0.0001,150,"[1014, 42, 322, 71]","[1004, 52, 297, 96]","[1008, 48, 340, 53]","[993, 63, 286, 107]","[1009, 47, 323, 70]","[1011, 45, 307, 86]",[10028   532  3146   783],[10013   547  3133   796],[10007   553  3116   813],[9962  598 3072  857],[9983  577 3104  825]
3,0.001,50,"[1020, 36, 326, 67]","[1006, 50, 298, 95]","[1008, 48, 341, 52]","[994, 62, 288, 105]","[1004, 52, 315, 78]","[1021, 35, 324, 69]",[10063   497  3179   750],[10058   502  3184   745],[10070   490  3175   754],[10082   478  3181   748],[10038   522  3147   782]
4,0.001,100,"[1020, 36, 326, 67]","[1003, 53, 298, 95]","[1009, 47, 341, 52]","[995, 61, 289, 104]","[1007, 49, 323, 70]","[1021, 35, 323, 70]",[10081   479  3196   733],[10065   495  3180   749],[10044   516  3151   778],[10079   481  3164   765],[10030   530  3149   780]
5,0.001,150,"[1020, 36, 326, 67]","[1006, 50, 298, 95]","[1009, 47, 341, 52]","[995, 61, 289, 104]","[1008, 48, 323, 70]","[1013, 43, 310, 83]",[10077   483  3183   746],[10087   473  3192   737],[10043   517  3150   779],[10084   476  3177   752],[10047   513  3164   765]
6,0.01,50,"[1048, 8, 379, 14]","[1054, 2, 375, 18]","[1031, 25, 369, 24]","[1045, 11, 369, 24]","[1051, 5, 374, 19]","[1053, 3, 379, 14]",[10479    81  3760   169],[10478    82  3742   187],[10480    80  3754   175],[10467    93  3736   193],[10467    93  3735   194]
7,0.01,100,"[1048, 8, 379, 14]","[1054, 2, 375, 18]","[1031, 25, 369, 24]","[1044, 12, 365, 28]","[1051, 5, 374, 19]","[1053, 3, 380, 13]",[10478    82  3757   172],[10480    80  3751   178],[10494    66  3775   154],[10471    89  3742   187],[10482    78  3760   169]
8,0.01,150,"[1048, 8, 379, 14]","[1054, 2, 375, 18]","[1031, 25, 369, 24]","[1048, 8, 372, 21]","[1051, 5, 374, 19]","[1053, 3, 380, 13]",[10482    78  3764   165],[10492    68  3760   169],[10493    67  3768   161],[10495    65  3768   161],[10484    76  3762   167]
