,Kernel,C,Gamma,Degree,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,"[1018, 38, 324, 69]",0.7474497894954794,0.6063872334824039,0.19567319928735044,0.29586757008144876
1,rbf,0.1,1.0,,"[1048, 8, 384, 9]",0.7344882324522051,0.642400197915785,0.048002036141511835,0.0891387144327769
2,poly,0.1,1.0,2.0,"[1011, 45, 310, 83]",0.7470770929670785,0.5867503597136443,0.22937134130822093,0.3294352809129347
3,poly,0.1,1.0,3.0,"[389, 667, 119, 274]",0.4036717509835047,0.2597545169051776,0.6495291422753882,0.37103550890251763
4,rbf,0.1,10.0,,"[1056, 0, 393, 0]",0.7304161777900476,0.6598301204293786,0.01354034105370323,0.026486766188210924
5,poly,0.1,10.0,2.0,"[488, 568, 240, 153]",0.4418524397819035,0.2525278662224964,0.5402901501654366,0.34407600937586036
6,poly,0.1,10.0,3.0,"[367, 689, 163, 230]",0.41113948512664783,0.25424523870738275,0.6058539068465258,0.3580729595667921
7,linear,1.0,,,"[1018, 38, 324, 69]",0.7475050037959832,0.6064968027729799,0.1960804275897175,0.2963459047767881
8,rbf,1.0,1.0,,"[971, 85, 304, 89]",0.7353716612602664,0.526161156330058,0.24270806821074062,0.3321737076589478
9,poly,1.0,1.0,2.0,"[300, 756, 150, 243]",0.449844709779833,0.2551062042472684,0.5369814202087045,0.34577397393801534
10,poly,1.0,1.0,3.0,"[302, 754, 158, 235]",0.4127545034163848,0.2586876976053789,0.6243318910664291,0.365683224067962
11,rbf,1.0,10.0,,"[953, 103, 310, 83]",0.7206846573262475,0.4683052339669146,0.22209213540341052,0.30128145146909235
12,poly,1.0,10.0,2.0,"[404, 652, 184, 209]",0.46138449858513353,0.25782051184997756,0.5261898701959786,0.3454145087676209
13,poly,1.0,10.0,3.0,"[212, 844, 107, 286]",0.39639726689212507,0.2561254452631033,0.643777042504454,0.36644241515147596
14,linear,10.0,,,"[1018, 38, 324, 69]",0.7474497894954792,0.6061161494117085,0.19608042758971744,0.29630141633487544
15,rbf,10.0,1.0,,"[916, 140, 278, 115]",0.7192214783628961,0.4708268890972371,0.28546703995927714,0.3554187858287805
16,poly,10.0,1.0,2.0,"[409, 647, 138, 255]",0.45005176340672237,0.2542970847109768,0.5313820310511581,0.3438465165792041
17,poly,10.0,1.0,3.0,"[351, 705, 145, 248]",0.4176823797363517,0.2592524055704159,0.6172053957750064,0.36496229628980953
18,rbf,10.0,10.0,,"[953, 103, 310, 83]",0.7206846573262475,0.4683052339669146,0.22209213540341052,0.30128145146909235
19,poly,10.0,10.0,2.0,"[536, 520, 165, 228]",0.4590240872385948,0.2551693322978257,0.5187070501399846,0.34189436962099407
20,poly,10.0,10.0,3.0,"[7, 1049, 0, 393]",0.3877010145627718,0.26172262244754224,0.6908119114278443,0.3794934443472207
21,linear,100.0,,,"[1017, 39, 323, 70]",0.7461522534336392,0.5959412722969587,0.1985237974039196,0.29772010625660494
22,rbf,100.0,1.0,,"[916, 140, 278, 115]",0.7192076747877701,0.47078735840170494,0.28546703995927714,0.355407525837233
23,poly,100.0,1.0,2.0,"[476, 580, 166, 227]",0.4554627648560977,0.2579265153922583,0.5395775006362941,0.34828246159405296
24,poly,100.0,1.0,3.0,"[316, 740, 154, 239]",0.40311960797846635,0.2591175278883515,0.646271315856452,0.3698242357423057
25,rbf,100.0,10.0,,"[953, 103, 310, 83]",0.7206846573262475,0.4683052339669146,0.22209213540341052,0.30128145146909235
26,poly,100.0,10.0,2.0,"[394, 662, 159, 234]",0.43863620677755544,0.2518766787829193,0.5436497836599644,0.3441124519405544
27,poly,100.0,10.0,3.0,"[1050, 6, 391, 2]",0.4499965491062185,0.265454144611171,0.5801476202596081,0.3624161885000571
28,linear,1000.0,,,"[952, 104, 331, 62]",0.6714335012768307,0.37396135787560414,0.3005853906846526,0.3280732428733829
29,rbf,1000.0,1.0,,"[916, 140, 278, 115]",0.7192076747877701,0.4707769279661898,0.28536523288368537,0.35532594512543597
30,poly,1000.0,1.0,2.0,"[362, 694, 156, 237]",0.4463109945475878,0.25481156638962715,0.5410027996945788,0.3464040573561463
31,poly,1000.0,1.0,3.0,"[317, 739, 150, 243]",0.3981641245082476,0.2585000269632678,0.6527869686943243,0.3703140518424694
32,rbf,1000.0,10.0,,"[953, 103, 310, 83]",0.7206846573262475,0.4683052339669146,0.22209213540341052,0.30128145146909235
33,poly,1000.0,10.0,2.0,"[374, 682, 122, 271]",0.45271585340603215,0.25538371336950466,0.5317383558157293,0.3449855197319762
34,poly,1000.0,10.0,3.0,"[0, 1056, 0, 393]",0.4559734971357582,0.2684004395359313,0.5839653855942988,0.36178618161697107
