,Neighbors,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,12,50,"[1026, 30, 337, 56]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1003, 53, 312, 81]",[10033   527  3199   730],[9946  614 3133  796],[10028   532  3171   758],[10053   507  3242   687],[10057   503  3204   725]
1,12,100,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[996, 60, 295, 98]","[993, 63, 331, 62]","[1017, 39, 328, 65]",[10011   549  3178   751],[9899  661 3088  841],[10047   513  3207   722],[10065   495  3265   664],[10048   512  3205   724]
2,12,150,"[1009, 47, 321, 72]","[967, 89, 283, 110]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[9990  570 3167  762],[9979  581 3164  765],[10008   552  3187   742],[10021   539  3218   711],[10037   523  3196   733]
3,14,50,"[1026, 30, 337, 56]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[996, 60, 295, 98]","[993, 63, 331, 62]","[1004, 52, 313, 80]",[10036   524  3203   726],[9931  629 3116  813],[10036   524  3198   731],[10072   488  3265   664],[10062   498  3212   717]
4,14,100,"[1009, 47, 321, 72]","[967, 89, 283, 110]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1017, 39, 328, 65]",[10001   559  3173   756],[9899  661 3088  841],[10038   522  3203   726],[10074   486  3275   654],[10048   512  3205   724]
5,14,150,"[1009, 47, 321, 72]","[967, 89, 283, 110]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[9990  570 3167  762],[9968  592 3158  771],[10011   549  3181   748],[10059   501  3263   666],[10045   515  3202   727]
6,16,50,"[1026, 30, 337, 56]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1010, 46, 320, 73]",[10048   512  3221   708],[9934  626 3120  809],[10087   473  3237   692],[10039   521  3239   690],[10041   519  3198   731]
7,16,100,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1017, 39, 328, 65]",[10022   538  3189   740],[9935  625 3119  810],[10049   511  3215   714],[10043   517  3244   685],[10048   512  3205   724]
8,16,150,"[1009, 47, 321, 72]","[967, 89, 283, 110]","[1000, 56, 329, 64]","[1004, 52, 306, 87]","[993, 63, 331, 62]","[1011, 45, 321, 72]",[9982  578 3157  772],[10005   555  3183   746],[10045   515  3203   726],[10068   492  3272   657],[10045   515  3202   727]
