,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[1021, 35, 327, 66]","[1020, 36, 317, 76]","[1016, 40, 334, 59]","[1012, 44, 303, 90]","[1006, 50, 303, 90]","[1022, 34, 324, 69]",[10125   435  3201   728],[10117   443  3195   734],[10114   446  3207   722],[10120   440  3211   718],[10136   424  3209   720]
1,200,7,"[1015, 41, 310, 83]","[1007, 49, 306, 87]","[1005, 51, 313, 80]","[1003, 53, 295, 98]","[998, 58, 299, 94]","[1010, 46, 318, 75]",[10038   522  3099   830],[10046   514  3102   827],[10034   526  3099   830],[10050   510  3103   826],[10025   535  3090   839]
2,200,10,"[1016, 40, 309, 84]","[999, 57, 300, 93]","[1003, 53, 309, 84]","[1000, 56, 290, 103]","[1003, 53, 299, 94]","[1008, 48, 306, 87]",[10011   549  3048   881],[10013   547  3044   885],[10008   552  3054   875],[10018   542  3054   875],[9989  571 3059  870]
3,300,5,"[1021, 35, 325, 68]","[1021, 35, 318, 75]","[1017, 39, 331, 62]","[1012, 44, 303, 90]","[1006, 50, 305, 88]","[1019, 37, 324, 69]",[10124   436  3199   730],[10108   452  3185   744],[10104   456  3198   731],[10115   445  3207   722],[10122   438  3203   726]
4,300,7,"[1014, 42, 310, 83]","[1005, 51, 304, 89]","[1008, 48, 312, 81]","[1002, 54, 295, 98]","[998, 58, 296, 97]","[1010, 46, 316, 77]",[10033   527  3089   840],[10043   517  3097   832],[10042   518  3096   833],[10043   517  3093   836],[10031   529  3095   834]
5,300,10,"[1016, 40, 309, 84]","[998, 58, 300, 93]","[1004, 52, 308, 85]","[1001, 55, 289, 104]","[1000, 56, 300, 93]","[1008, 48, 308, 85]",[10013   547  3049   880],[10007   553  3048   881],[10010   550  3060   869],[10019   541  3050   879],[9997  563 3053  876]
6,400,5,"[1021, 35, 324, 69]","[1019, 37, 316, 77]","[1016, 40, 327, 66]","[1010, 46, 302, 91]","[1008, 48, 305, 88]","[1019, 37, 327, 66]",[10116   444  3195   734],[10111   449  3189   740],[10102   458  3196   733],[10115   445  3210   719],[10111   449  3192   737]
7,400,7,"[1014, 42, 311, 82]","[1004, 52, 304, 89]","[1008, 48, 313, 80]","[1004, 52, 295, 98]","[998, 58, 297, 96]","[1010, 46, 316, 77]",[10030   530  3093   836],[10038   522  3092   837],[10047   513  3094   835],[10044   516  3091   838],[10035   525  3095   834]
8,400,10,"[1013, 43, 309, 84]","[998, 58, 301, 92]","[1005, 51, 307, 86]","[1001, 55, 287, 106]","[1001, 55, 300, 93]","[1008, 48, 307, 86]",[10011   549  3048   881],[10007   553  3038   891],[10012   548  3053   876],[10016   544  3054   875],[9992  568 3057  872]
9,500,5,"[1021, 35, 323, 70]","[1020, 36, 318, 75]","[1017, 39, 330, 63]","[1013, 43, 303, 90]","[1007, 49, 305, 88]","[1019, 37, 325, 68]",[10121   439  3198   731],[10101   459  3186   743],[10105   455  3208   721],[10121   439  3215   714],[10117   443  3200   729]
10,500,7,"[1014, 42, 312, 81]","[1003, 53, 306, 87]","[1009, 47, 313, 80]","[1005, 51, 296, 97]","[997, 59, 296, 97]","[1011, 45, 316, 77]",[10034   526  3093   836],[10042   518  3092   837],[10050   510  3092   837],[10040   520  3097   832],[10032   528  3095   834]
11,500,10,"[1016, 40, 309, 84]","[999, 57, 301, 92]","[1003, 53, 308, 85]","[1002, 54, 287, 106]","[1002, 54, 299, 94]","[1008, 48, 308, 85]",[10016   544  3047   882],[10002   558  3042   887],[10008   552  3053   876],[10011   549  3054   875],[9996  564 3052  877]
