,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[990, 66, 294, 99]",0.7409759127614052,0.5476831259648213,0.2572664800203614,0.350077338786505
1,linear,1000.0,,,50,0.5,"[986, 70, 292, 101]",0.7398440196010767,0.5429589223299119,0.25665563756681087,0.3485355458829729
