,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[988, 68, 282, 111]",0.7423010559734972,0.5511116873480895,0.26785441588190373,0.3604944771443166
1,linear,1000.0,,,50,0.5,"[987, 69, 279, 114]",0.741100144937539,0.5462942793470571,0.266938152201578,0.3586298468003584
