,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,50,"[1013, 43, 315, 78]",0.7488715577334529,0.6031202845426481,0.21623822855688474,0.3183016291572207
1,rbf,0.1,1.0,,50,"[1056, 0, 393, 0]",0.7287873559251846,0.16666666666666666,0.00010180707559175362,0.00020348467835161623
2,poly,0.1,1.0,2.0,50,"[639, 417, 247, 146]",0.5489129684588309,0.27667496287004845,0.4109442606261135,0.3306390012538149
3,poly,0.1,1.0,3.0,50,"[491, 565, 180, 213]",0.4970943474359859,0.2739433182633199,0.5177907864596589,0.3583126788210469
4,rbf,0.1,10.0,,50,"[1056, 0, 393, 0]",0.7288287666505625,0.0,0.0,0.0
5,poly,0.1,10.0,2.0,50,"[461, 595, 198, 195]",0.45901028366346874,0.2526038591782946,0.5079664036650546,0.337412012286081
6,poly,0.1,10.0,3.0,50,"[500, 556, 183, 210]",0.49433363241079437,0.2721453127594855,0.5164672944769662,0.3564479518311069
7,linear,1.0,,,50,"[1013, 43, 314, 79]",0.7488163434329491,0.6026168912786669,0.21654364978365997,0.318560031912464
8,rbf,1.0,1.0,,50,"[1017, 39, 345, 48]",0.7284836772724136,0.49639623383912584,0.10262153219648766,0.16999829906932282
9,poly,1.0,1.0,2.0,50,"[473, 583, 188, 205]",0.4629995168748707,0.2551395655102974,0.5107151947060321,0.3402789177078797
10,poly,1.0,1.0,3.0,50,"[502, 554, 181, 212]",0.49563116847263444,0.2731725000789264,0.5177907864596589,0.3576521417504848
11,rbf,1.0,10.0,,50,"[1028, 28, 368, 25]",0.7226861757195114,0.4215704842089384,0.06113514889284806,0.10672054984185478
12,poly,1.0,10.0,2.0,50,"[480, 576, 189, 204]",0.46160535578714884,0.25378855157080793,0.507864596589463,0.33844577810146276
13,poly,1.0,10.0,3.0,50,"[480, 576, 182, 211]",0.49415418593415694,0.2722393886707929,0.5172308475439042,0.35671249098436125
14,linear,10.0,,,50,"[1013, 43, 314, 79]",0.7488301470080752,0.6027131831795967,0.21649274624586407,0.3185244314708617
15,rbf,10.0,1.0,,50,"[993, 63, 327, 66]",0.7188901925598729,0.4477435550872132,0.1562738610333418,0.23160795709714693
16,poly,10.0,1.0,2.0,50,"[476, 580, 190, 203]",0.46025260542480506,0.2535057777842259,0.5093407991855434,0.3385183970067423
17,poly,10.0,1.0,3.0,50,"[481, 575, 180, 213]",0.49118641728207607,0.27024625652467255,0.5153983201832527,0.3545695393019785
18,rbf,10.0,10.0,,50,"[1028, 28, 368, 25]",0.7226861757195114,0.4215704842089384,0.06113514889284806,0.10672054984185478
19,poly,10.0,10.0,2.0,50,"[440, 616, 183, 210]",0.45880323003657947,0.25380876756845544,0.5132603715958258,0.3396434882156738
20,poly,10.0,10.0,3.0,50,"[498, 558, 188, 205]",0.48323555800952445,0.2686490227890109,0.5258335454314074,0.3556075421478898
21,linear,100.0,,,50,"[1014, 42, 316, 77]",0.7484712540548002,0.6042277990819883,0.2100789004835836,0.31174396029724666
22,rbf,100.0,1.0,,50,"[993, 63, 327, 66]",0.718862585409621,0.4476141107988562,0.1562738610333418,0.2315908498766203
23,poly,100.0,1.0,2.0,50,"[463, 593, 195, 198]",0.45975567672027057,0.2542631174964659,0.5133621786714178,0.3400792478246144
24,poly,100.0,1.0,3.0,50,"[511, 545, 183, 210]",0.49514804334322593,0.2729489007325666,0.5179944006108425,0.35750098320879287
25,rbf,100.0,10.0,,50,"[1028, 28, 368, 25]",0.7226861757195114,0.4215704842089384,0.06113514889284806,0.10672054984185478
26,poly,100.0,10.0,2.0,50,"[445, 611, 174, 219]",0.461260266409,0.2543326171776907,0.5107660982438279,0.3395651066305131
27,poly,100.0,10.0,3.0,50,"[431, 625, 172, 221]",0.45986610532127814,0.2675311480439046,0.5704759480783914,0.36324601639149484
28,linear,1000.0,,,50,"[1030, 26, 340, 53]",0.742328663123749,0.5792911830325,0.1839653855942988,0.27854017590258867
29,rbf,1000.0,1.0,,50,"[993, 63, 327, 66]",0.718862585409621,0.4476141107988562,0.1562738610333418,0.2315908498766203
30,poly,1000.0,1.0,2.0,50,"[470, 586, 187, 206]",0.4605976948029539,0.25422534651265055,0.5115296513107661,0.33963736355594976
31,poly,1000.0,1.0,3.0,50,"[492, 564, 181, 212]",0.49367106080474843,0.2718986549709691,0.5168745227793332,0.3563350280269301
32,rbf,1000.0,10.0,,50,"[1028, 28, 368, 25]",0.7226861757195114,0.4215704842089384,0.06113514889284806,0.10672054984185478
33,poly,1000.0,10.0,2.0,50,"[454, 602, 192, 201]",0.46063910552833187,0.2541010950346589,0.5109188088572155,0.3393959528331937
34,poly,1000.0,10.0,3.0,50,"[231, 825, 86, 307]",0.41414866450410665,0.2688550779533801,0.6748791040977349,0.3840561281181837
