,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
19,poly,10.0,10.0,2.0,"[951, 105, 321, 72]","[200, 856, 46, 347]","[933, 123, 308, 85]","[281, 775, 153, 240]","[236, 820, 69, 324]","[527, 529, 203, 190]",[4588 5972 1690 2239],[4796 5764 1876 2053],[5462 5098 2164 1765],[2780 7780 1382 2547],[4932 5628 1841 2088]
20,poly,10.0,10.0,3.0,"[247, 809, 93, 300]","[162, 894, 118, 275]","[835, 221, 338, 55]","[61, 995, 25, 368]","[201, 855, 74, 319]","[143, 913, 59, 334]",[2451 8109 1098 2831],[2035 8525  900 3029],[1714 8846  834 3095],[1859 8701  849 3080],[1901 8659  861 3068]
21,linear,100.0,,,"[1015, 41, 324, 69]","[999, 57, 294, 99]","[1007, 49, 340, 53]","[987, 69, 284, 109]","[1009, 47, 323, 70]","[1017, 39, 317, 76]",[10024   536  3161   768],[10036   524  3170   759],[9989  571 3119  810],[9991  569 3120  809],[9992  568 3113  816]
22,rbf,100.0,1.0,,"[994, 62, 295, 98]","[945, 111, 284, 109]","[991, 65, 299, 94]","[951, 105, 272, 121]","[974, 82, 291, 102]","[995, 61, 300, 93]",[9754  806 2968  961],[9770  790 2966  963],[9751  809 2960  969],[9727  833 2948  981],[9788  772 2998  931]
23,poly,100.0,1.0,2.0,"[856, 200, 335, 58]","[533, 523, 235, 158]","[227, 829, 114, 279]","[180, 876, 86, 307]","[602, 454, 198, 195]","[225, 831, 76, 317]",[4627 5933 1878 2051],[5292 5268 2013 1916],[3394 7166 1517 2412],[4143 6417 1613 2316],[4401 6159 1550 2379]
24,poly,100.0,1.0,3.0,"[85, 971, 13, 380]","[106, 950, 56, 337]","[235, 821, 111, 282]","[394, 662, 219, 174]","[528, 528, 165, 228]","[185, 871, 118, 275]",[2942 7618 1212 2717],[1842 8718  819 3110],[3390 7170 1466 2463],[2324 8236 1059 2870],[2023 8537  908 3021]
25,rbf,100.0,10.0,,"[1000, 56, 300, 93]","[968, 88, 294, 99]","[995, 61, 309, 84]","[975, 81, 294, 99]","[976, 80, 292, 101]","[1000, 56, 306, 87]",[9838  722 3043  886],[9837  723 3027  902],[9832  728 3023  906],[9814  746 3031  898],[9823  737 3028  901]
26,poly,100.0,10.0,2.0,"[593, 463, 221, 172]","[423, 633, 127, 266]","[257, 799, 141, 252]","[18, 1038, 8, 385]","[250, 806, 135, 258]","[273, 783, 124, 269]",[3206 7354 1443 2486],[3929 6631 1500 2429],[4269 6291 1545 2384],[2858 7702 1163 2766],[3447 7113 1430 2499]
27,poly,100.0,10.0,3.0,"[74, 982, 14, 379]","[937, 119, 343, 50]","[99, 957, 24, 369]","[33, 1023, 22, 371]","[111, 945, 29, 364]","[112, 944, 32, 361]",[2120 8440  808 3121],[2483 8077  972 2957],[1950 8610  865 3064],[3693 6867 1456 2473],[1713 8847  788 3141]
28,linear,1000.0,,,"[815, 241, 207, 186]","[1006, 50, 329, 64]","[838, 218, 333, 60]","[985, 71, 286, 107]","[972, 84, 319, 74]","[940, 116, 265, 128]",[9383 1177 3041  888],[9712  848 3128  801],[9330 1230 2863 1066],[9624  936 3103  826],[9398 1162 3037  892]
29,rbf,1000.0,1.0,,"[994, 62, 295, 98]","[945, 111, 284, 109]","[991, 65, 299, 94]","[951, 105, 272, 121]","[974, 82, 291, 102]","[995, 61, 300, 93]",[9754  806 2968  961],[9771  789 2966  963],[9750  810 2961  968],[9727  833 2948  981],[9788  772 2998  931]
30,poly,1000.0,1.0,2.0,"[364, 692, 117, 276]","[593, 463, 172, 221]","[933, 123, 308, 85]","[415, 641, 232, 161]","[265, 791, 130, 263]","[231, 825, 74, 319]",[4296 6264 1629 2300],[4025 6535 1677 2252],[2869 7691 1280 2649],[4237 6323 1631 2298],[4409 6151 1592 2337]
31,poly,1000.0,1.0,3.0,"[320, 736, 156, 237]","[142, 914, 87, 306]","[666, 390, 299, 94]","[87, 969, 61, 332]","[541, 515, 254, 139]","[992, 64, 369, 24]",[4093 6467 1788 2141],[2710 7850 1187 2742],[2395 8165  919 3010],[3165 7395 1364 2565],[2605 7955 1158 2771]
32,rbf,1000.0,10.0,,"[1000, 56, 300, 93]","[968, 88, 294, 99]","[995, 61, 309, 84]","[975, 81, 294, 99]","[976, 80, 292, 101]","[1000, 56, 306, 87]",[9838  722 3043  886],[9837  723 3027  902],[9832  728 3023  906],[9814  746 3031  898],[9823  737 3028  901]
33,poly,1000.0,10.0,2.0,"[198, 858, 74, 319]","[156, 900, 56, 337]","[239, 817, 140, 253]","[185, 871, 83, 310]","[236, 820, 69, 324]","[636, 420, 218, 175]",[3419 7141 1402 2527],[3558 7002 1354 2575],[2991 7569 1197 2732],[3240 7320 1315 2614],[3211 7349 1329 2600]
34,poly,1000.0,10.0,3.0,"[1055, 1, 393, 0]","[1055, 1, 391, 2]","[1054, 2, 392, 1]","[1036, 20, 383, 10]","[1055, 1, 392, 1]","[1056, 0, 393, 0]",[10528    32  3915    14],[8466 2094 3146  783],[8349 2211 3109  820],[8659 1901 3288  641],[10497    63  3908    21]
